Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Photography,lifestyle-fashion-photographers,top rated seller,8,$130,$255,$375,3 days,5 days,5 days,1,1,1,5.0,270,United States,Oct 2020,1 hour,2 days,English,1 order in queue,False
Photography,lifestyle-fashion-photographers,top rated seller,8,$750,"$1,250","$2,150",21 days,21 days,21 days,0,0,0,5.0,71,United Kingdom,Jan 2020,4 hours,6 days,English,N/A,False
Photography,lifestyle-fashion-photographers,top rated seller,8,$395,$495,$895,14 days,14 days,14 days,0,0,0,4.8,31,United States,Feb 2014,2 hours,3 weeks,English,N/A,False
Photography,lifestyle-fashion-photographers,top rated seller,8,$100,$100,$100,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,4.8,3,United States,Mar 2018,4 hours,1 day,English,N/A,True
Photography,lifestyle-fashion-photographers,top rated seller,8,$450,$775,$900,14 days,30 days,30 days,1,1,1,5.0,65,Spain,Dec 2017,2 hours,1 month,"English, Spanish, Catalan, Portuguese",N/A,False
Photography,lifestyle-fashion-photographers,top rated seller,8,$395,$495,$895,14 days,14 days,14 days,0,0,0,4.8,31,United States,Feb 2014,2 hours,3 weeks,English,N/A,False
Photography,lifestyle-fashion-photographers,top rated seller,8,$900,"$1,500","$2,900",14 days,14 days,14 days,-1,-1,-1,4.9,77,United States,Dec 2016,1 hour,1 month,"English, Russian, Ukrainian, Czech",N/A,False
Photography,lifestyle-fashion-photographers,top rated seller,8,"$1,200","$2,000","$3,000",21 days,21 days,21 days,0,0,0,4.7,13,United States,Dec 2016,1 hour,1 month,"English, Russian, Ukrainian, Czech",N/A,False
Photography,lifestyle-fashion-photographers,top rated seller,8,$130,$255,$375,3 days,5 days,5 days,1,1,1,5.0,270,United States,Oct 2020,1 hour,2 days,English,1 order in queue,False
Photography,lifestyle-fashion-photographers,top rated seller,8,$180,$180,$180,5-day delivery,5-day delivery,5-day delivery,1 Revision,1 Revision,1 Revision,5.0,3,Canada,Feb 2019,1 hour,1 week,"English, French",N/A,True
