Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Photography,product-photographers,new seller,"2,000+ Results",$800,"$1,000","$1,100",10 days,10 days,10 days,1,1,1,4.9,17,United States,May 2021,1 hour,1 month,"English, Spanish",N/A,False
Photography,product-photographers,new seller,"2,000+ Results",$450,$600,$750,5 days,5 days,5 days,1,1,1,5.0,39,United States,Jul 2019,9 hours,4 days,"English, Ukrainian",N/A,False
Photography,product-photographers,new seller,"2,000+ Results",$170,$260,$350,7 days,10 days,14 days,1,1,2,5.0,19,Germany,Jan 2022,1 hour,2 weeks,"English, German",N/A,False
Photography,product-photographers,new seller,"2,000+ Results",$100,$150,$300,3 days,7 days,10 days,0,1,2,4.9,10,China,Jan 2022,9 hours,3 days,"English, Chinese",N/A,False
Photography,product-photographers,new seller,"2,000+ Results",$100,$800,"$4,500",7 days,7 days,14 days,1,1,1,5.0,16,Slovenia,Oct 2021,2 hours,7 months,"English, Slovenian",N/A,False
Photography,product-photographers,new seller,"2,000+ Results",$125,$240,$390,3 days,5 days,7 days,1,1,1,5.0,35,United States,Jan 2019,1 hour,1 year,"English, Italian, Spanish, Czech",N/A,False
Photography,product-photographers,new seller,"2,000+ Results",$200,$450,$650,2 days,4 days,6 days,4,4,4,5.0,8,United States,May 2018,2 hours,2 months,"English, Spanish",1 order in queue,False
Photography,product-photographers,new seller,"2,000+ Results",$150,$200,$300,7 days,7 days,7 days,1,1,1,4.9,47,United States,Aug 2019,10 hours,1 month,English,N/A,False
Photography,product-photographers,new seller,"2,000+ Results",$100,$150,$200,3 days,3 days,5 days,1,2,2,5.0,7,India,May 2014,3 hours,6 months,English,N/A,False
Photography,product-photographers,new seller,"2,000+ Results",€145.07,€241.79,€290.15,5 days,7 days,10 days,1,2,3,5.0,2,United Kingdom,Aug 2020,2 hours,1 month,"English, Lithuanian, Russian",N/A,False
Photography,product-photographers,new seller,"2,000+ Results",$100,$150,$250,2 days,3 days,4 days,Unlimited,Unlimited,Unlimited,5.0,6,Australia,Jan 2015,1 hour,1 month,English,N/A,False
Photography,product-photographers,new seller,"2,000+ Results",$250,$250,$250,5-day delivery,5-day delivery,5-day delivery,-1,-1,-1,5.0,4,United Kingdom,Aug 2020,1 hour,1 year,English,N/A,True
Photography,product-photographers,new seller,"2,000+ Results",$130,$270,$500,5 days,7 days,7 days,-1,-1,-1,5.0,3,United Kingdom,Apr 2021,1 hour,4 months,"English, Polish",N/A,False
Photography,product-photographers,new seller,"2,000+ Results",$100,$175,$290,21 days,21 days,21 days,0,0,0,5.0,70,United Kingdom,Aug 2020,1 hour,3 weeks,English,1 order in queue,False
