Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Photography,real-estate-photographers,new seller,298 Results,$150,$250,$400,2 days,4 days,7 days,1,2,3,5.0,5,France,May 2023,1 hour,1 month,"English, French",N/A,False
Photography,real-estate-photographers,new seller,298 Results,$100,$200,$300,3 days,3 days,5 days,1,1,1,5.0,3,United States,Jan 2024,1 hour,1 month,"English, Spanish",N/A,False
Photography,real-estate-photographers,new seller,298 Results,$200,$200,$200,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,5.0,1,Germany,Jan 2019,5 hours,2 months,"English, German, Spanish",N/A,True
Photography,real-estate-photographers,new seller,298 Results,$130,$180,$700,1 day,1 day,2 days,2,3,3,5.0,6,United Kingdom,Dec 2019,9 hours,3 weeks,"English, French",3 orders in queue,False
Photography,real-estate-photographers,new seller,298 Results,$115,$125,$160,1 day,1 day,1 day,2,2,4,5.0,2,United Kingdom,Dec 2019,9 hours,3 weeks,"English, French",N/A,False
Photography,real-estate-photographers,new seller,298 Results,$120,$160,$220,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,11,United Kingdom,Mar 2022,1 hour,1 week,"English, Tigrinya, Amharic",N/A,False
Photography,real-estate-photographers,new seller,298 Results,$150,$270,$340,2 days,2 days,2 days,0,1,1,5.0,1,United Kingdom,Jul 2022,3 hours,2 months,N/A,N/A,False
Photography,real-estate-photographers,new seller,298 Results,$150,$250,$350,3 days,7 days,7 days,0,3,3,4.9,5,Hong Kong,Jul 2021,1 hour,2 weeks,English,N/A,False
Photography,real-estate-photographers,new seller,298 Results,$245,$350,$595,3 days,4 days,5 days,0,1,1,5.0,4,United Kingdom,Jul 2019,2 hours,5 months,"English, Spanish, Portuguese",N/A,False
Photography,real-estate-photographers,new seller,298 Results,$135,$165,$220,2 days,2 days,2 days,1,1,1,5.0,1,United Kingdom,Jan 2023,1 hour,9 months,"English, Russian",N/A,False
Photography,real-estate-photographers,new seller,298 Results,$50,$90,$175,1 day,2 days,3 days,2,3,4,5.0,1,Canada,Jun 2023,1 hour,9 months,"English, French",N/A,False
Photography,real-estate-photographers,new seller,298 Results,$120,$220,$320,5 days,7 days,10 days,0,0,0,5.0,1,France,Dec 2014,1 day,11 months,"English, French",N/A,False
Photography,real-estate-photographers,new seller,298 Results,$150,$275,$400,1 day,1 day,1 day,1,1,1,N/A,N/A,United States,Oct 2021,1 hour,10 months,English,N/A,False
Photography,real-estate-photographers,new seller,298 Results,$250,$330,$500,1 day,1 day,1 day,-1,-1,-1,5.0,1,United Kingdom,Jul 2019,1 hour,10 months,"English, Italian, Portuguese, Spanish",N/A,False
Photography,real-estate-photographers,new seller,298 Results,$100,$200,$400,3 days,3 days,1 day,1,1,2,N/A,N/A,United States,May 2023,1 hour,N/A,"English, Hindi, Gujarati",N/A,False
Photography,real-estate-photographers,new seller,298 Results,$200,$350,$600,2 days,3 days,3 days,-1,-1,-1,5.0,1,United Kingdom,Apr 2023,6 days,6 months,English,N/A,False
Photography,real-estate-photographers,new seller,298 Results,$110,$150,$200,2 days,2 days,2 days,-1,-1,-1,5.0,2,United Arab Emirates,May 2023,11 hours,8 months,English,N/A,False
Photography,real-estate-photographers,new seller,298 Results,$100,$180,$350,2 days,2 days,7 days,0,0,1,5.0,1,Turkey,Jul 2020,N/A,11 months,"Russian, Turkish, Azerbaijani, English",N/A,False
