Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Programming & Tech,chatbots,level 1,539,$30,$400,$800,2 days,5 days,10 days,-1,-1,-1,4.9,7,India,Aug 2015,1 hour,2 days,English,N/A,False
Programming & Tech,chatbots,level 1,539,$30,$55,$75,3 days,5 days,7 days,2,5,8,5.0,28,Pakistan,Oct 2021,1 hour,about 6 hours,"English, German, French, Spanish",1 order in queue,False
Programming & Tech,chatbots,level 1,539,$30,$40,$45,1 day,3 days,4 days,Unlimited,Unlimited,Unlimited,4.9,21,Pakistan,Apr 2021,1 hour,1 day,English,N/A,False
Programming & Tech,chatbots,level 1,539,$30,$35,$40,1 day,1 day,1 day,Unlimited,Unlimited,Unlimited,5.0,111,Pakistan,Jun 2023,1 hour,1 day,"English, Spanish, French, German",6 orders in queue,False
Programming & Tech,chatbots,level 1,539,$100,$150,$200,6 days,10 days,14 days,-1,-1,-1,5.0,6,India,Jan 2017,9 hours,2 weeks,English,N/A,False
Programming & Tech,chatbots,level 1,539,€29.01,€38.68,€48.34,1 day,2 days,2 days,Unlimited,Unlimited,Unlimited,5.0,34,United States,Dec 2022,1 hour,about 4 hours,"English, Hindi, Punjabi, Spanish",N/A,False
Programming & Tech,chatbots,level 1,539,$650,"$1,150","$3,250",21 days,60 days,90 days,-1,-1,-1,5.0,1,Oman,Feb 2015,4 hours,2 weeks,English,N/A,False
Programming & Tech,chatbots,level 1,539,$30,$50,$80,1 day,3 days,7 days,0,0,1,4.9,66,Algeria,Jun 2022,5 hours,1 month,"English, Arabic, French",2 orders in queue,False
Programming & Tech,chatbots,level 1,539,$50,$100,$320,1 day,2 days,5 days,1,2,3,5.0,28,Pakistan,Dec 2022,1 hour,3 days,"English, German, Spanish, French",2 orders in queue,False
Programming & Tech,chatbots,level 1,539,$50,$130,$300,3 days,5 days,7 days,2,3,5,5.0,34,India,Oct 2020,1 hour,1 day,"Hindi, Gujarati, English",3 orders in queue,False
Programming & Tech,chatbots,level 1,539,$30,$50,$80,1 day,3 days,7 days,0,0,1,4.9,66,Algeria,Jun 2022,5 hours,1 month,"English, Arabic, French",2 orders in queue,False
Programming & Tech,chatbots,level 1,539,$50,$300,"$1,000",2 days,3 days,10 days,1,2,3,5.0,1,Poland,Oct 2022,1 hour,2 weeks,"English, Russian, Polish",1 order in queue,False
Programming & Tech,chatbots,level 1,539,$30,$45,$60,2 days,2 days,2 days,-1,-1,-1,5.0,313,Pakistan,Mar 2021,4 hours,2 weeks,"Urdu, English, Hindi",1 order in queue,False
Programming & Tech,chatbots,level 1,539,$30,$45,$65,2 days,3 days,5 days,2,3,3,5.0,17,Italy,Jun 2021,1 hour,2 days,"Italian, English",N/A,False
Programming & Tech,chatbots,level 1,539,$30,$40,$50,3 days,5 days,7 days,1,2,3,5.0,276,Netherlands,Jan 2019,2 hours,1 day,"English, Dutch, French, German",1 order in queue,False
Programming & Tech,chatbots,level 1,539,$30,$30,$30,2-day delivery,2-day delivery,2-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,15,Bangladesh,May 2022,1 hour,about 16 hours,"English, Bengali, Spanish, Chinese",N/A,True
Programming & Tech,chatbots,level 1,539,€29.01,€33.84,€43.51,1 day,2 days,2 days,-1,-1,-1,5.0,464,Pakistan,Sep 2020,1 hour,4 days,"Urdu, English",1 order in queue,False
Programming & Tech,chatbots,level 1,539,$30,$45,$60,1 day,2 days,3 days,1,2,3,4.7,10,Poland,Feb 2021,1 hour,1 week,"English, Polish",2 orders in queue,False
Programming & Tech,chatbots,level 1,539,$30,$45,$75,2 days,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,2,Pakistan,Sep 2020,2 hours,1 week,"English, Spanish, German, French",N/A,False
Programming & Tech,chatbots,level 1,539,$490,$490,$490,21-day delivery,21-day delivery,21-day delivery,1 Revision,1 Revision,1 Revision,5.0,1,India,Nov 2020,6 hours,5 months,"Hindi, English",N/A,True
Programming & Tech,chatbots,level 1,539,$100,$200,$300,3 days,4 days,5 days,1,2,3,4.8,109,Pakistan,Sep 2017,3 hours,about 22 hours,"Urdu, English, Chinese",1 order in queue,False
Programming & Tech,chatbots,level 1,539,$30,$45,$75,1 day,1 day,2 days,Unlimited,Unlimited,Unlimited,4.9,30,Pakistan,Sep 2020,2 hours,1 week,"English, Spanish, German, French",N/A,False
Programming & Tech,chatbots,level 1,539,$100,$400,"$2,000",2 days,4 days,6 days,-1,-1,-1,4.9,6,Ethiopia,Dec 2022,1 hour,6 days,"English, Amharic",1 order in queue,False
Programming & Tech,chatbots,level 1,539,$30,$40,$45,2 days,2 days,2 days,1,1,1,4.9,17,Pakistan,Jul 2023,1 hour,2 days,"English, Urdu, Spanish, German",N/A,False
Programming & Tech,chatbots,level 1,539,$30,$40,$50,1 day,1 day,2 days,Unlimited,Unlimited,Unlimited,5.0,26,Morocco,Jan 2023,1 hour,about 4 hours,"English, Arabic, French",1 order in queue,False
Programming & Tech,chatbots,level 1,539,$30,$50,$120,2 days,4 days,10 days,-1,-1,-1,5.0,31,Bangladesh,Oct 2018,2 hours,1 week,"Bengali, English",N/A,False
Programming & Tech,chatbots,level 1,539,$30,$30,$30,3-day delivery,3-day delivery,3-day delivery,6 Revisions,6 Revisions,6 Revisions,5.0,15,Sri Lanka,Oct 2023,1 hour,2 days,"English, Sinhala",N/A,True
Programming & Tech,chatbots,level 1,539,$30,$45,$60,1 day,2 days,3 days,1,2,3,4.7,10,Poland,Feb 2021,1 hour,1 week,"English, Polish",2 orders in queue,False
Programming & Tech,chatbots,level 1,539,$30,$35,$40,1 day,1 day,1 day,Unlimited,Unlimited,Unlimited,4.9,52,Pakistan,Apr 2023,1 hour,6 days,"English, Urdu, Punjabi",1 order in queue,False
Programming & Tech,chatbots,level 1,539,$30,$30,$30,2-day delivery,2-day delivery,2-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,56,Pakistan,Feb 2023,1 hour,3 days,"Urdu, Hindi, English, Arabic",3 orders in queue,True
Programming & Tech,chatbots,level 1,539,$30,$40,$100,2 days,4 days,6 days,-1,-1,-1,5.0,43,Germany,Jun 2022,2 hours,3 months,"English, German",N/A,False
Programming & Tech,chatbots,level 1,539,$30,$120,$195,2 days,3 days,4 days,2,4,Unlimited,5.0,14,Pakistan,Jun 2021,1 hour,1 month,"Urdu, English",N/A,False
Programming & Tech,chatbots,level 1,539,$30,$40,$50,1 day,1 day,1 day,Unlimited,Unlimited,Unlimited,5.0,45,Pakistan,Apr 2023,1 hour,1 month,"English, French, German, Spanish",N/A,False
Programming & Tech,chatbots,level 1,539,$100,$150,$250,2 days,4 days,7 days,1,1,1,4.7,1,Pakistan,Mar 2021,1 hour,1 week,"English, Urdu, French",3 orders in queue,False
Programming & Tech,chatbots,level 1,539,$30,$40,$50,2 days,2 days,1 day,1,2,3,4.8,70,Pakistan,Oct 2021,3 hours,4 months,"English, Urdu, Hindi",N/A,False
