Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Programming & Tech,chatbots,new seller,4300,$50,$80,$125,3 days,4 days,7 days,1,1,2,5.0,11,Kazakhstan,Jul 2020,2 hours,1 month,"English, Russian",N/A,False
Programming & Tech,chatbots,new seller,4300,$45,$75,$115,5 days,10 days,14 days,2,Unlimited,Unlimited,5.0,64,Canada,Nov 2020,1 hour,about 21 hours,English,3 orders in queue,False
Programming & Tech,chatbots,new seller,4300,$115,$230,$430,3 days,7 days,14 days,1,1,2,5.0,9,Bangladesh,May 2022,5 hours,1 year,English,N/A,False
Programming & Tech,chatbots,new seller,4300,$40,$230,$600,3 days,10 days,21 days,5,9,Unlimited,5.0,4,Canada,Feb 2021,10 hours,7 months,"English, Ukrainian, Russian",N/A,False
Programming & Tech,chatbots,new seller,4300,$30,$450,$850,2 days,1 day,1 day,0,0,0,5.0,11,Pakistan,Mar 2018,1 hour,1 month,English,N/A,False
Programming & Tech,chatbots,new seller,4300,$100,$200,$250,2 days,2 days,2 days,5,5,5,4.9,259,Norway,Aug 2018,3 days,2 weeks,"English, Norwegian Bokmål",N/A,False
Programming & Tech,chatbots,new seller,4300,$100,$200,$305,1 day,2 days,5 days,2,3,5,4.7,30,Pakistan,Mar 2021,1 hour,8 months,"English, German, Chinese, Spanish",N/A,False
Programming & Tech,chatbots,new seller,4300,$50,$200,$500,3 days,5 days,14 days,-1,-1,-1,4.8,30,Pakistan,Mar 2018,1 hour,about 17 hours,"English, Urdu",2 orders in queue,False
Programming & Tech,chatbots,new seller,4300,$140,$140,$140,4-day delivery,4-day delivery,4-day delivery,3 Revisions,3 Revisions,3 Revisions,5.0,16,Tunisia,Jan 2018,1 hour,8 months,"English, Arabic, French",N/A,True
Programming & Tech,chatbots,new seller,4300,$200,$700,"$1,100",10 days,21 days,30 days,Unlimited,Unlimited,Unlimited,5.0,54,Italy,Jan 2019,9 days,4 months,"English, Italian",N/A,False
Programming & Tech,chatbots,new seller,4300,$30,$75,$130,2 days,10 days,14 days,0,1,2,5.0,9,United Kingdom,Mar 2022,N/A,5 months,English,N/A,False
Programming & Tech,chatbots,new seller,4300,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,2 Revisions,2 Revisions,2 Revisions,4.9,69,India,Sep 2020,1 hour,2 days,"Hindi, English",N/A,True
Programming & Tech,chatbots,new seller,4300,$30,$80,$200,3 days,7 days,21 days,2,3,4,4.7,78,Bangladesh,Apr 2017,14 hours,1 month,"Bengali, English",N/A,False
Programming & Tech,chatbots,new seller,4300,$30,$40,$55,2 days,2 days,2 days,3,5,Unlimited,5.0,14,Pakistan,Oct 2021,1 hour,4 days,"English, Hindi, Punjabi",N/A,False
Programming & Tech,chatbots,new seller,4300,$30,$75,$125,1 day,2 days,2 days,3,4,5,5.0,5,Netherlands,Jan 2022,16 hours,3 weeks,"English, Dutch",N/A,False
