Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Programming & Tech,game-development,level 2,959 Results,$60,$400,$850,1 day,4 days,7 days,2,2,2,5.0,42,United Kingdom,May 2022,1 hour,1 day,English,N/A,False
Programming & Tech,game-development,level 2,959 Results,$500,"$1,500","$3,000",14 days,21 days,30 days,0,0,0,5.0,15,United Kingdom,May 2022,8 hours,5 days,"English, Dutch",N/A,False
Programming & Tech,game-development,level 2,959 Results,€290.15,€773.72,"€1,451",21 days,30 days,45 days,-1,-1,-1,4.7,35,Pakistan,Dec 2020,1 hour,about 3 hours,"English, Urdu, Hindi, Punjabi",4 orders in queue,False
Programming & Tech,game-development,level 2,959 Results,$175,"$1,200","$3,500",6 days,21 days,30 days,-1,-1,-1,5.0,5,Qatar,Aug 2022,4 hours,3 weeks,English,2 orders in queue,False
Programming & Tech,game-development,level 2,959 Results,€38.69,€96.72,€241.79,2 days,3 days,5 days,1,1,2,5.0,37,Poland,Mar 2021,2 hours,2 days,English,N/A,False
Programming & Tech,game-development,level 2,959 Results,$10,$10,$10,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,5.0,258,Macedonia [FYROM],May 2019,1 hour,about 2 hours,"English, Albanian",1 order in queue,True
Programming & Tech,game-development,level 2,959 Results,$5,$10,$15,2 days,4 days,7 days,1,2,3,4.9,150,Pakistan,Apr 2023,2 hours,about 52 minutes,English,5 orders in queue,False
Programming & Tech,game-development,level 2,959 Results,$5,$15,$40,1 day,1 day,2 days,0,0,0,4.9,109,Sri Lanka,Apr 2023,3 hours,1 day,"Sinhala, English, German",2 orders in queue,False
Programming & Tech,game-development,level 2,959 Results,"$1,300","$3,900","$9,600",10 days,30 days,60 days,Unlimited,Unlimited,Unlimited,5.0,29,Greece,Sep 2020,2 hours,2 days,"English, Greek, Spanish",2 orders in queue,False
Programming & Tech,game-development,level 2,959 Results,$20,$50,$100,2 days,2 days,2 days,5,5,5,4.8,314,Sri Lanka,Dec 2019,2 hours,about 23 hours,"Sinhala, English",3 orders in queue,False
Programming & Tech,game-development,level 2,959 Results,$100,$300,$500,5 days,10 days,21 days,1,2,3,4.9,79,Philippines,Apr 2021,2 hours,5 days,"English, Tagalog",3 orders in queue,False
Programming & Tech,game-development,level 2,959 Results,$50,$50,$50,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,5.0,79,Mexico,Apr 2023,1 hour,1 day,English,1 order in queue,True
Programming & Tech,game-development,level 2,959 Results,"$1,000","$5,000","$10,000",30 days,60 days,90 days,2,4,6,5.0,4,Pakistan,Aug 2020,1 hour,1 month,English,N/A,False
