Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Programming & Tech,game-development,new seller,"12,000+ Results",$20,$40,$70,4 days,7 days,14 days,1,2,3,5.0,16,Romania,Sep 2023,2 hours,1 month,"English, Hungarian",N/A,False
Programming & Tech,game-development,new seller,"12,000+ Results",$15,$25,$35,3 days,5 days,7 days,2,3,4,5.0,29,United States,Jun 2020,2 hours,about 3 hours,English,N/A,False
Programming & Tech,game-development,new seller,"12,000+ Results",€4.84,€9.67,€14.51,3 days,3 days,5 days,1,2,4,4.8,16,Turkey,May 2023,1 hour,1 week,"Turkish, English",N/A,False
Programming & Tech,game-development,new seller,"12,000+ Results",$5,$10,$15,3 days,6 days,10 days,-1,-1,-1,4.7,58,Germany,Jan 2022,7 hours,about 5 hours,"Polish, English, German",N/A,False
Programming & Tech,game-development,new seller,"12,000+ Results","$2,000","$4,000","$6,000",30 days,60 days,90 days,1,2,3,5.0,2,United States,Oct 2018,1 day,2 days,English,N/A,False
Programming & Tech,game-development,new seller,"12,000+ Results",€29.01,€38.69,€72.54,1 day,1 day,1 day,0,0,1,4.9,377,Brazil,Feb 2020,4 hours,1 day,"English, Portuguese, Spanish",2 orders in queue,False
Programming & Tech,game-development,new seller,"12,000+ Results",€29.01,€67.70,€96.72,3 days,7 days,10 days,-1,-1,-1,4.8,15,Egypt,Jan 2023,3 hours,1 week,"English, Arabic",2 orders in queue,False
Programming & Tech,game-development,new seller,"12,000+ Results",$50,$150,$500,3 days,5 days,10 days,1,3,Unlimited,4.9,136,Serbia,Jan 2021,2 hours,3 weeks,English,1 order in queue,False
Programming & Tech,game-development,new seller,"12,000+ Results",$10,$15,$35,4 days,6 days,10 days,-1,-1,-1,4.9,23,Peru,May 2020,2 hours,about 2 hours,"English, Spanish",4 orders in queue,False
Programming & Tech,game-development,new seller,"12,000+ Results",$10,$35,$60,1 day,1 day,1 day,0,0,0,4.9,15,United States,May 2023,5 hours,2 weeks,English,N/A,False
Programming & Tech,game-development,new seller,"12,000+ Results",$5,$10,$15,2 days,2 days,2 days,-1,-1,-1,5.0,14,Belgium,Aug 2023,3 hours,2 days,"English, Dutch, French",5 orders in queue,False
Programming & Tech,game-development,new seller,"12,000+ Results",$5,$15,$20,1 day,1 day,1 day,-1,-1,-1,5.0,29,Indonesia,Jun 2017,1 hour,about 20 hours,English,1 order in queue,False
Programming & Tech,game-development,new seller,"12,000+ Results",$140,$220,$300,2 days,2 days,2 days,1,2,2,5.0,17,France,Mar 2024,1 hour,3 days,"English, French, Arabic",1 order in queue,False
Programming & Tech,game-development,new seller,"12,000+ Results",$5,$20,$25,1 day,5 days,2 days,3,5,8,5.0,58,Argentina,Jun 2019,6 hours,5 days,"Spanish, English",1 order in queue,False
Programming & Tech,game-development,new seller,"12,000+ Results",€14.51,€14.51,€14.51,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,5.0,165,Brazil,Jan 2022,3 hours,1 day,"English, Portuguese",N/A,True
Programming & Tech,game-development,new seller,"12,000+ Results",$5,$10,$15,4 days,5 days,6 days,-1,-1,-1,4.9,18,United States,Jul 2020,6 hours,4 days,English,2 orders in queue,False
Programming & Tech,game-development,new seller,"12,000+ Results",$45,$190,$290,2 days,5 days,7 days,3,3,3,5.0,113,Turkey,Jun 2022,1 day,6 days,English,1 order in queue,False
Programming & Tech,game-development,new seller,"12,000+ Results",$5,$10,$15,1 day,1 day,3 days,Unlimited,Unlimited,Unlimited,5.0,37,United States,Sep 2023,1 hour,3 weeks,"English, Spanish",N/A,False
Programming & Tech,game-development,new seller,"12,000+ Results",$5,$10,$135,1 day,1 day,10 days,-1,-1,-1,4.9,29,Pakistan,Jan 2023,15 hours,1 month,"English, Urdu, German, French",N/A,False
Programming & Tech,game-development,new seller,"12,000+ Results",$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,4.9,18,Brazil,Jun 2023,1 hour,3 months,"English, Portuguese",N/A,True
Programming & Tech,game-development,new seller,"12,000+ Results",$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,4.8,24,Algeria,Feb 2022,1 hour,1 month,"English, Arabic, French",N/A,True
Programming & Tech,game-development,new seller,"12,000+ Results",$5,$100,$105,1 day,2 days,2 days,-1,-1,-1,4.9,39,Pakistan,Jan 2023,1 hour,1 week,"Urdu, Hindi, English, French",N/A,False
Programming & Tech,game-development,new seller,"12,000+ Results",$5,$40,$110,1 day,2 days,3 days,-1,-1,-1,4.8,36,Pakistan,Sep 2023,1 hour,2 days,"English, Urdu, German, Hindi",N/A,False
Programming & Tech,game-development,new seller,"12,000+ Results",$10,$15,$25,2 days,2 days,3 days,1,1,2,4.8,130,Greece,Oct 2021,4 days,2 weeks,"English, Greek, Russian, German",1 order in queue,False
Programming & Tech,game-development,new seller,"12,000+ Results",$40,$40,$40,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,36,Canada,Dec 2022,1 hour,2 days,N/A,N/A,True
Programming & Tech,game-development,new seller,"12,000+ Results","$3,000","$6,000","$9,000",30 days,60 days,90 days,1,2,3,5.0,2,United States,Oct 2018,1 day,2 days,English,2 orders in queue,False
Programming & Tech,game-development,new seller,"12,000+ Results",$100,$250,$500,2 days,4 days,10 days,1,2,3,5.0,136,Morocco,Jan 2020,3 days,2 months,"English, Arabic, French",N/A,False
