Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Programming & Tech,game-development,top rated seller,155 Results,$165,$420,"$1,000",5 days,10 days,14 days,2,5,8,4.9,568,Greece,Oct 2017,4 hours,about 9 hours,"English, Greek",10 orders in queue,False
Programming & Tech,game-development,top rated seller,155 Results,$350,$840,"$4,500",5 days,7 days,21 days,1,2,5,4.7,21,Germany,Jun 2021,1 hour,about 2 hours,"English, German",2 orders in queue,False
Programming & Tech,game-development,top rated seller,155 Results,$600,"$3,500","$7,000",21 days,30 days,30 days,-1,-1,-1,4.9,118,India,May 2020,1 hour,1 day,"English, Hindi, Gujarati",2 orders in queue,False
Programming & Tech,game-development,top rated seller,155 Results,$500,"$1,000","$2,000",10 days,30 days,45 days,-1,-1,-1,5.0,176,Pakistan,Jul 2017,2 hours,1 month,English,1 order in queue,False
Programming & Tech,game-development,top rated seller,155 Results,$55,$330,$615,7 days,14 days,21 days,-1,-1,-1,5.0,99,Philippines,Jul 2021,3 hours,6 days,"English, Tagalog",3 orders in queue,False
Programming & Tech,game-development,top rated seller,155 Results,€14.51,€14.51,€14.51,21-day delivery,21-day delivery,21-day delivery,1 Revision,1 Revision,1 Revision,5.0,100,Croatia,Dec 2020,3 hours,5 days,"English, Croatian, German, Swedish",N/A,True
Programming & Tech,game-development,top rated seller,155 Results,$15,$20,$80,2 days,3 days,5 days,0,1,1,5.0,877,Bangladesh,May 2020,1 hour,2 days,"Bengali, English, Hindi",N/A,False
Programming & Tech,game-development,top rated seller,155 Results,$15,$50,$160,2 days,2 days,2 days,-1,-1,-1,5.0,247,Bangladesh,Jan 2017,4 hours,4 days,English,N/A,False
Programming & Tech,game-development,top rated seller,155 Results,$500,"$2,500","$5,000",7 days,14 days,21 days,1,3,Unlimited,5.0,302,Pakistan,Dec 2017,3 hours,1 week,"Urdu, English, Hindi",1 order in queue,False
Programming & Tech,game-development,top rated seller,155 Results,$740,"$1,095","$2,060",5 days,10 days,30 days,1,2,3,5.0,26,India,May 2015,4 hours,about 12 hours,"English, Gujarati, Hindi",N/A,False
Programming & Tech,game-development,top rated seller,155 Results,$95,$160,$415,2 days,3 days,4 days,0,1,2,5.0,79,Pakistan,Oct 2019,2 hours,1 day,"Urdu, English",N/A,False
Programming & Tech,game-development,top rated seller,155 Results,$300,$750,"$1,500",14 days,21 days,30 days,-1,-1,-1,5.0,55,Greece,Oct 2017,4 hours,about 9 hours,"English, Greek",N/A,False
Programming & Tech,game-development,top rated seller,155 Results,€91.88,"€1,446","€3,864",3 days,14 days,30 days,-1,-1,-1,5.0,169,Pakistan,Aug 2020,1 hour,3 days,English,3 orders in queue,False
Programming & Tech,game-development,top rated seller,155 Results,€193.43,€483.58,€967.15,7 days,7 days,7 days,1,3,5,4.9,336,Bangladesh,May 2017,1 hour,2 days,"Bengali, English",5 orders in queue,False
Programming & Tech,game-development,top rated seller,155 Results,₪633.78,"₪1,614","₪3,842",5 days,10 days,14 days,2,5,8,4.9,568,Greece,Oct 2017,4 hours,about 9 hours,"English, Greek",10 orders in queue,False
Programming & Tech,game-development,top rated seller,155 Results,$50,$150,$500,7 days,10 days,14 days,0,1,5,5.0,59,Philippines,Apr 2018,1 hour,2 days,"English, Tagalog",N/A,False
Programming & Tech,game-development,top rated seller,155 Results,$25,$25,$25,7-day delivery,7-day delivery,7-day delivery,1 Revision,1 Revision,1 Revision,5.0,51,Netherlands,Aug 2022,1 hour,4 days,"English, German",2 orders in queue,True
Programming & Tech,game-development,top rated seller,155 Results,€285.31,€672.17,"€1,446",10 days,21 days,30 days,1,2,5,5.0,431,Pakistan,Feb 2016,2 hours,1 day,"Urdu, English",4 orders in queue,False
Programming & Tech,game-development,top rated seller,155 Results,$40,$100,$200,3 days,5 days,6 days,1,1,1,5.0,84,Georgia,Feb 2022,2 hours,5 days,"English, Georgian, Russian",1 order in queue,False
Programming & Tech,game-development,top rated seller,155 Results,$150,$400,"$1,200",3 days,14 days,30 days,0,3,5,5.0,628,Pakistan,Sep 2015,1 hour,1 day,"English, Urdu",5 orders in queue,False
Programming & Tech,game-development,top rated seller,155 Results,$35,$140,$360,7 days,14 days,45 days,1,1,1,5.0,96,Argentina,Aug 2020,2 hours,1 day,"Spanish, English",1 order in queue,False
