Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$240,"$1,100","$2,700",10 days,30 days,60 days,1,2,5,5.0,15,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Hindi",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results","$1,800","$1,800","$1,800",30-day delivery,30-day delivery,30-day delivery,1 Revision,1 Revision,1 Revision,5.0,4,India,N/A,N/A,N/A,"I speak English, Hindi, Punjabi",N/A,True
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$100,$500,$995,7 days,14 days,21 days,0,1,2,5.0,246,India,N/A,N/A,N/A,"I speak Gujarati, English, Hindi",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$395,$695,$995,21 days,30 days,45 days,1,2,2,5.0,47,India,N/A,N/A,N/A,"I speak English, Hindi",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$150,$250,$950,4 days,14 days,30 days,1,2,3,5.0,49,Spain,N/A,N/A,N/A,I speak Spanish,N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",€96.72,€628.65,€918.80,7 days,14 days,21 days,-1,-1,-1,5.0,56,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$100,$130,$150,2 days,4 days,7 days,2,3,Unlimited,4.9,22,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, French, Spanish",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$100,$395,$595,7 days,14 days,21 days,Unlimited,Unlimited,Unlimited,5.0,21,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$490,"$1,490","$3,990",10 days,21 days,30 days,-1,-1,-1,5.0,478,Pakistan,N/A,N/A,N/A,English,N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$170,$320,$980,10 days,21 days,45 days,1,2,3,5.0,81,Pakistan,N/A,N/A,N/A,"English, Urdu",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$150,"$1,100","$2,720",21 days,30 days,60 days,0,1,2,5.0,134,India,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results","$1,000","$3,000","$7,000",14 days,45 days,75 days,1,2,3,5.0,21,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$100,$390,$750,5 days,10 days,30 days,1,3,Unlimited,5.0,3,India,N/A,N/A,N/A,"I speak English, Spanish, French, German",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$100,$500,"$3,000",3 days,10 days,30 days,2,3,5,5.0,354,Pakistan,N/A,N/A,N/A,"English, Urdu",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$195,$595,"$1,105",21 days,30 days,45 days,1,1,1,5.0,137,India,N/A,N/A,N/A,"I speak English, Hindi",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$600,"$1,200","$3,000",14 days,21 days,45 days,Unlimited,Unlimited,Unlimited,5.0,36,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$30,$70,$150,2 days,4 days,7 days,Unlimited,Unlimited,Unlimited,4.9,31,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English, Hindi",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$290,"$1,250","$2,800",7 days,21 days,45 days,1,2,3,5.0,35,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$100,$350,$600,10 days,21 days,45 days,Unlimited,Unlimited,Unlimited,5.0,155,Pakistan,N/A,N/A,N/A,"English, Spanish, French, German",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results","$1,000","$3,000","$6,000",3 days,30 days,30 days,1,3,Unlimited,5.0,201,India,N/A,N/A,N/A,"English, Hindi",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",£123.57,£247.14,£659.05,3 days,7 days,30 days,1,2,2,5.0,94,Pakistan,N/A,N/A,N/A,"I speak English, Urdu",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$250,$500,"$1,000",7 days,14 days,30 days,-1,-1,-1,4.9,80,Pakistan,N/A,N/A,N/A,"I speak English, Spanish, French",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",€96.72,€290.15,€773.72,5 days,10 days,21 days,Unlimited,Unlimited,Unlimited,4.9,22,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$500,"$1,200","$3,000",10 days,30 days,60 days,3,5,9,5.0,65,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Arabic",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$250,$450,"$1,250",7 days,10 days,14 days,Unlimited,Unlimited,Unlimited,5.0,28,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$100,$200,$500,2 days,10 days,30 days,2,5,Unlimited,5.0,56,Nepal,N/A,N/A,N/A,"I speak Nepali, Hindi, English",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$110,$250,$550,7 days,10 days,21 days,-1,-1,-1,5.0,41,Pakistan,N/A,N/A,N/A,"I speak English, Urdu",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$200,$500,"$1,000",4 days,10 days,21 days,3,5,9,5.0,50,Pakistan,N/A,N/A,N/A,"I speak Urdu, Hindi, English",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$405,"$1,210","$3,310",3 days,14 days,21 days,1,2,3,4.9,65,Pakistan,N/A,N/A,N/A,"I speak English, Spanish, German",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$100,$700,$990,14 days,21 days,30 days,1,3,5,5.0,79,Pakistan,N/A,N/A,N/A,"I speak English, Urdu",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$100,$200,$350,14 days,21 days,30 days,1,3,5,5.0,659,India,N/A,N/A,N/A,"I speak English, Hindi",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$200,$450,$950,3 days,10 days,21 days,2,3,6,5.0,28,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Spanish, German",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$300,"$1,500","$3,500",7 days,30 days,60 days,Unlimited,Unlimited,Unlimited,4.9,92,Pakistan,N/A,N/A,N/A,"I speak English, Spanish, French, German",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$300,$600,$900,7 days,14 days,21 days,-1,-1,-1,5.0,64,India,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$200,$400,$800,7 days,14 days,21 days,3,7,Unlimited,4.9,137,India,N/A,N/A,N/A,"I speak Hindi, English",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$245,$495,$995,3 days,14 days,21 days,-1,-1,-1,5.0,22,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$150,"$1,100","$2,720",21 days,30 days,60 days,0,1,2,5.0,134,India,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$105,"$1,000","$2,500",2 days,14 days,45 days,1,5,9,5.0,89,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$100,$250,$500,14 days,21 days,45 days,Unlimited,Unlimited,Unlimited,4.9,14,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$500,$800,"$1,600",10 days,21 days,30 days,Unlimited,Unlimited,Unlimited,4.8,66,Japan,N/A,N/A,N/A,"I speak English, Japanese",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$100,$500,"$1,000",5 days,10 days,21 days,2,3,5,5.0,37,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$190,"$2,990","$5,990",10 days,30 days,60 days,1,2,5,5.0,25,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$160,$600,"$8,000",1 day,14 days,60 days,1,1,1,5.0,50,India,N/A,N/A,N/A,English,N/A,False
Programming & Tech,mobile-app-services,level 2,"2,800+ Results",$100,$400,$800,5 days,10 days,45 days,1,2,3,5.0,64,India,N/A,N/A,N/A,"I speak Gujarati, English, Hindi",N/A,False
