Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Programming & Tech,mobile-app-services,new seller,"23,000+ Results","$7,500","$10,000","$15,000",30 days,45 days,60 days,Unlimited,Unlimited,Unlimited,5.0,69,India,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,new seller,"23,000+ Results",$300,"$1,000","$3,050",7 days,14 days,30 days,3,8,9,N/A,N/A,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Spanish",N/A,False
Programming & Tech,mobile-app-services,new seller,"23,000+ Results","$2,700","$5,400","$7,000",30 days,30 days,30 days,-1,-1,-1,N/A,N/A,United States,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,new seller,"23,000+ Results","$1,875","$2,700","$3,500",30 days,30 days,30 days,Unlimited,Unlimited,Unlimited,N/A,N/A,United States,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,new seller,"23,000+ Results",$250,$400,$500,14 days,14 days,14 days,-1,-1,-1,4.7,154,United States,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,new seller,"23,000+ Results",€241.79,€580.29,"€1,451",5 days,14 days,21 days,2,3,3,5.0,74,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,new seller,"23,000+ Results",€106.39,€628.65,€957.48,7 days,14 days,21 days,3,3,3,5.0,97,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Programming & Tech,mobile-app-services,new seller,"23,000+ Results","$1,800","$2,500","$5,000",30 days,45 days,60 days,6,9,Unlimited,4.8,17,Ukraine,N/A,N/A,N/A,"English, Ukrainian, German",N/A,False
Programming & Tech,mobile-app-services,new seller,"23,000+ Results",US$100,US$600,"US$1,200",3 days,14 days,30 days,3,3,3,5.0,23,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,new seller,"23,000+ Results",$120,$350,$550,7 days,14 days,21 days,Unlimited,Unlimited,Unlimited,5.0,13,Bangladesh,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,new seller,"23,000+ Results","$10,000","$15,000","$20,000",30 days,75 days,90 days,5,7,9,5.0,1,Uruguay,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Programming & Tech,mobile-app-services,new seller,"23,000+ Results",$200,$600,"$1,500",4 days,14 days,30 days,2,4,2,5.0,69,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,new seller,"23,000+ Results",$550,"$2,500","$4,000",21 days,45 days,60 days,3,4,4,5.0,11,Pakistan,N/A,N/A,N/A,"I speak English, French",N/A,False
Programming & Tech,mobile-app-services,new seller,"23,000+ Results",$560,$990,"$4,000",21 days,45 days,60 days,2,3,4,5.0,11,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Programming & Tech,mobile-app-services,new seller,"23,000+ Results",$100,$550,$990,4 days,14 days,21 days,3,3,3,5.0,8,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,new seller,"23,000+ Results",$100,$200,$500,4 days,7 days,14 days,3,3,7,4.8,45,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Dutch",N/A,False
