Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Programming & Tech,mobile-app-services,top rated seller,313 Results,$650,"$3,500","$10,500",21 days,45 days,60 days,Unlimited,Unlimited,Unlimited,5.0,6,India,N/A,N/A,N/A,English,N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$335,$695,"$2,975",10 days,30 days,45 days,2,4,6,5.0,99,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Punjabi",N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,"$4,000","$7,500","$13,500",30 days,60 days,90 days,1,2,3,5.0,139,India,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,US$100,US$145,US$165,2 days,2 days,4 days,2,2,2,4.8,32,Pakistan,N/A,N/A,N/A,"I speak English, Hebrew, French, Spanish",N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$120,$350,"$1,150",5 days,10 days,30 days,-1,-1,-1,5.0,"1,422",India,N/A,N/A,N/A,"English, Gujarati, Hindi",N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$100,$650,$995,10 days,60 days,75 days,-1,-1,-1,4.9,155,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$450,$700,"$1,500",5 days,10 days,14 days,Unlimited,Unlimited,Unlimited,5.0,69,Bangladesh,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,US$390,US$900,"US$2,700",21 days,30 days,60 days,0,0,1,4.9,"2,452",India,N/A,N/A,N/A,"I speak English, French",N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,"US$1,200","US$2,000","US$3,000",21 days,30 days,60 days,1,2,3,5.0,498,India,N/A,N/A,N/A,"Gujarati, English, Hindi",N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$250,$800,"$1,250",14 days,45 days,60 days,0,3,Unlimited,5.0,414,Pakistan,N/A,N/A,N/A,"Urdu, English, Punjabi, Hindi",N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$150,$250,$400,5 days,10 days,21 days,5,5,Unlimited,5.0,150,Pakistan,N/A,N/A,N/A,"I speak Sindhi, English, Urdu, Hindi",N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$250,$800,"$1,250",14 days,45 days,60 days,0,3,Unlimited,5.0,414,Pakistan,N/A,N/A,N/A,"Urdu, English, Punjabi, Hindi",N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$140,"$4,550","$7,495",3 days,7 days,30 days,1,2,3,5.0,23,India,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$100,$800,"$2,000",5 days,14 days,45 days,1,3,5,4.8,90,Pakistan,N/A,N/A,N/A,"Urdu, Pashto, English",N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$995,"$2,995","$4,495",21 days,30 days,45 days,1,1,3,4.9,220,India,N/A,N/A,N/A,"I speak English, Hindi, Gujarati",N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$440,$745,"$1,040",10 days,21 days,45 days,1,2,3,5.0,676,India,N/A,N/A,N/A,"I speak English, Gujarati, Hindi",N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$120,"$1,995","$7,995",10 days,30 days,90 days,Unlimited,Unlimited,Unlimited,5.0,33,India,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$280,"$1,500","$2,500",5 days,30 days,60 days,1,5,8,5.0,408,Pakistan,N/A,N/A,N/A,"Urdu, English",N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$100,"$1,500","$2,500",7 days,21 days,30 days,Unlimited,Unlimited,Unlimited,5.0,210,Pakistan,N/A,N/A,N/A,"Urdu, English, Hindi",N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$440,$745,"$1,040",10 days,21 days,45 days,1,2,3,5.0,676,India,N/A,N/A,N/A,"I speak English, Gujarati, Hindi",N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$390,$900,"$2,700",21 days,30 days,60 days,0,0,1,4.9,"2,452",India,N/A,N/A,N/A,"I speak English, French",N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$500,"$1,500","$3,000",14 days,30 days,60 days,2,4,5,5.0,11,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Hindi",N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$290,"$1,280","$2,490",10 days,21 days,30 days,5,3,2,5.0,207,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,mobile-app-services,top rated seller,313 Results,$400,"$1,500","$2,800",5 days,10 days,21 days,2,5,9,4.9,81,Pakistan,N/A,N/A,N/A,Flutter,N/A,False
