Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Programming & Tech,software-development,level 2,"7,800+ Results",$50,$140,$295,3 days,5 days,7 days,2,3,5,4.9,882,Pakistan,N/A,N/A,N/A,"I speak English, Arabic, French, German",N/A,False
Programming & Tech,software-development,level 2,"7,800+ Results",$100,$250,$400,3 days,7 days,10 days,Unlimited,Unlimited,Unlimited,4.8,118,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English",N/A,False
Programming & Tech,software-development,level 2,"7,800+ Results",$15,$50,$125,1 day,2 days,4 days,3,5,Unlimited,5.0,32,Bangladesh,N/A,N/A,N/A,"I speak English, German, Italian, Spanish",N/A,False
Programming & Tech,software-development,level 2,"7,800+ Results",$50,$320,$750,3 days,7 days,10 days,3,5,5,5.0,337,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Pashto",N/A,False
Programming & Tech,software-development,level 2,"7,800+ Results",$25,$100,$250,1 day,4 days,14 days,5,7,Unlimited,4.9,25,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Programming & Tech,software-development,level 2,"7,800+ Results",$10,$50,$100,2 days,2 days,3 days,1,2,3,4.9,31,Malaysia,N/A,N/A,N/A,"I speak English, Urdu",N/A,False
Programming & Tech,software-development,level 2,"7,800+ Results",£4.12,£8.24,£16.48,1 day,1 day,1 day,Unlimited,Unlimited,Unlimited,4.9,"1,217",Bangladesh,N/A,N/A,N/A,"I speak English, Bengali",N/A,False
Programming & Tech,software-development,level 2,"7,800+ Results",$25,$60,$100,1 day,2 days,4 days,1,2,3,4.9,55,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Programming & Tech,software-development,level 2,"7,800+ Results",$50,$100,$300,1 day,3 days,30 days,1,2,3,5.0,53,Pakistan,N/A,N/A,N/A,English,N/A,False
Programming & Tech,software-development,level 2,"7,800+ Results",$60,$560,"$1,120",1 day,14 days,30 days,Unlimited,Unlimited,Unlimited,5.0,108,Bangladesh,N/A,N/A,N/A,"Bengali, English, Hindi",N/A,False
