Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Programming & Tech,software-development,new seller,"53,000+ Results",$30,$250,$660,3 days,5 days,7 days,-1,-1,-1,5.0,1,Bangladesh,N/A,N/A,N/A,"I speak English, Hindi",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$500,$500,$500,1-day delivery,1-day delivery,1-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,N/A,N/A,United Kingdom,N/A,N/A,N/A,I speak English,N/A,True
Programming & Tech,software-development,new seller,"53,000+ Results","$2,500","$2,500","$2,500",7-day delivery,7-day delivery,7-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,N/A,N/A,United Kingdom,N/A,N/A,N/A,I speak English,N/A,True
Programming & Tech,software-development,new seller,"53,000+ Results",$70,$350,$600,10 days,14 days,21 days,0,0,0,4.4,7,Bangladesh,N/A,N/A,N/A,"I speak English, Hindi",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",€241.79,€822.08,"€1,935",5 days,14 days,21 days,-1,-1,-1,4.9,20,United States,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$5,$15,$25,2 days,3 days,4 days,4,Unlimited,Unlimited,4.8,28,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, French, Spanish",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$10,$250,$500,2 days,5 days,10 days,Unlimited,Unlimited,Unlimited,5.0,14,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$30,$75,$150,1 day,4 days,7 days,-1,-1,-1,4.8,20,Nigeria,N/A,N/A,N/A,"I speak English, Igbo",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$200,$200,$200,14-day delivery,14-day delivery,14-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,10,Israel,N/A,N/A,N/A,"I speak English, Hebrew",N/A,True
Programming & Tech,software-development,new seller,"53,000+ Results",$20,$35,$70,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,19,Pakistan,N/A,N/A,N/A,"I speak Urdu, Punjabi, English, Arabic",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$5,$15,$20,1 day,2 days,3 days,-1,-1,-1,4.9,24,Pakistan,N/A,N/A,N/A,"I speak Hindi, English, Spanish, French",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$25,$60,$115,1 day,3 days,7 days,2,3,Unlimited,4.7,15,Bangladesh,N/A,N/A,N/A,"I speak Bengali, Hindi, English, Urdu",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$50,$480,$980,7 days,14 days,21 days,-1,-1,-1,3.0,2,Bangladesh,N/A,N/A,N/A,"I speak English, Hindi",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$100,$200,$350,7 days,10 days,21 days,Unlimited,Unlimited,Unlimited,4.9,3,Mexico,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results","$1,005","$1,410","$7,020",14 days,30 days,30 days,1,2,3,5.0,15,Israel,N/A,N/A,N/A,"I speak English, Hebrew",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$100,$150,$300,2 days,5 days,10 days,3,5,5,5.0,1,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Spanish",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$35,$750,"$1,800",3 days,7 days,10 days,-1,-1,-1,4.9,78,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$100,"$1,000","$4,000",7 days,14 days,30 days,3,5,9,5.0,44,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English, Spanish, Hindi",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$10,$30,$50,1 day,2 days,5 days,Unlimited,Unlimited,Unlimited,5.0,11,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Arabic, Spanish",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$10,$30,$60,2 days,3 days,5 days,-1,-1,-1,4.8,10,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$25,$50,$100,2 days,4 days,6 days,Unlimited,Unlimited,Unlimited,4.9,59,Egypt,N/A,N/A,N/A,"I speak English, Arabic, French, German",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$5,$15,$20,2 days,3 days,7 days,-1,-1,-1,5.0,10,Egypt,N/A,N/A,N/A,"I speak English, Arabic",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$10,$15,$20,2 days,3 days,4 days,-1,-1,-1,5.0,16,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, German, French",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$20,$30,$40,1 day,2 days,4 days,2,6,Unlimited,4.8,20,Egypt,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$100,$200,$350,7 days,10 days,21 days,Unlimited,Unlimited,Unlimited,5.0,3,Mexico,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$200,$300,$500,2 days,5 days,21 days,-1,-1,-1,5.0,3,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Spanish",N/A,False
Programming & Tech,software-development,new seller,"53,000+ Results",$250,$500,$900,7 days,14 days,21 days,-1,-1,-1,5.0,1,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Spanish",N/A,False
