Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Programming & Tech,software-development,top rated seller,533 Results,$40,$150,$300,1 day,3 days,7 days,3,5,9,4.9,76,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$150,$280,$450,3 days,5 days,10 days,-1,-1,-1,4.9,12,India,N/A,N/A,N/A,"I speak English, Gujarati, Hindi",N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$500,"$2,000","$5,000",14 days,60 days,90 days,0,3,5,5.0,143,Pakistan,N/A,N/A,N/A,English,N/A,False
Programming & Tech,software-development,top rated seller,533 Results,"$1,225","$4,725","$6,215",10 days,21 days,30 days,1,1,1,5.0,3,Ukraine,N/A,N/A,N/A,"I speak English, Russian, Ukrainian",N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$60,$75,$100,2 days,3 days,4 days,Unlimited,Unlimited,Unlimited,4.9,560,Bangladesh,N/A,N/A,N/A,"I speak English, Italian, French, Spanish",N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$10,$30,$100,1 day,3 days,5 days,Unlimited,Unlimited,Unlimited,5.0,293,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English, Hindi",N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$15,$60,$90,10 days,10 days,10 days,-1,-1,-1,5.0,211,Mexico,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$40,$70,$100,2 days,3 days,4 days,Unlimited,Unlimited,Unlimited,5.0,189,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English",N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$500,"$2,000","$5,000",14 days,60 days,90 days,0,3,5,5.0,143,Pakistan,N/A,N/A,N/A,English,N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$800,"$3,000","$4,500",7 days,30 days,30 days,0,0,0,5.0,198,India,N/A,N/A,N/A,"Hindi, Gujarati, English",N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$100,"$7,000","$20,000",14 days,30 days,75 days,0,2,2,5.0,68,United States,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$100,"$4,000","$8,000",7 days,14 days,21 days,3,5,Unlimited,5.0,1,Pakistan,N/A,N/A,N/A,"I speak French, German, Spanish, English",N/A,False
Programming & Tech,software-development,top rated seller,533 Results,€962.76,"€1,931","€8,704",10 days,30 days,30 days,Unlimited,Unlimited,Unlimited,5.0,114,India,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$150,$350,$750,3 days,4 days,10 days,0,1,1,5.0,5,Mexico,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Programming & Tech,software-development,top rated seller,533 Results,€382.20,€711.19,"€1,021",5 days,7 days,10 days,Unlimited,Unlimited,Unlimited,4.9,343,India,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$50,$130,$190,1 day,2 days,2 days,Unlimited,Unlimited,Unlimited,4.9,"1,988",Bangladesh,N/A,N/A,N/A,"I speak Bengali, English, Spanish",N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$30,$45,$50,2 days,2 days,21 days,-1,-1,-1,5.0,794,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Punjabi",N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$20,$50,$75,2 days,3 days,7 days,2,2,2,5.0,128,India,N/A,N/A,N/A,"I speak Hindi, English",N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$40,$90,$180,2 days,3 days,4 days,0,1,1,5.0,257,India,N/A,N/A,N/A,"English, Tamil",N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$125,$250,$700,3 days,4 days,7 days,-1,-1,-1,5.0,185,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$50,$150,$400,2 days,4 days,5 days,Unlimited,Unlimited,Unlimited,5.0,403,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$100,$230,$500,4 days,7 days,10 days,Unlimited,Unlimited,Unlimited,4.9,86,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$30,$150,$750,5 days,7 days,10 days,-1,-1,-1,5.0,99,India,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$35,$250,$500,5 days,10 days,21 days,1,2,3,4.9,23,India,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,software-development,top rated seller,533 Results,€967.60,"€1,936","€7,741",10 days,30 days,45 days,1,2,2,5.0,3,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$80,$80,$80,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,418,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Hindi",N/A,True
Programming & Tech,software-development,top rated seller,533 Results,$65,$95,$135,4 days,4 days,4 days,-1,-1,-1,5.0,39,Mexico,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Programming & Tech,software-development,top rated seller,533 Results,$30,$50,$70,2 days,2 days,2 days,-1,-1,-1,5.0,782,Bangladesh,N/A,N/A,N/A,I speak English,N/A,False
