Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Programming & Tech,website-development,level 1,"17,000+ Results",$80,$250,$500,4 days,7 days,14 days,3,5,9,4.9,136,India,Mar 2020,2 hours,2 days,"English, Hindi",1 order in queue,False
Programming & Tech,website-development,level 1,"17,000+ Results",$100,$100,$100,3-day delivery,3-day delivery,3-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,217,Pakistan,Dec 2017,1 hour,about 9 hours,"English, Spanish, French, Arabic",2 orders in queue,True
Programming & Tech,website-development,level 1,"17,000+ Results",€77.41,€179.01,€372.53,5 days,7 days,10 days,3,4,Unlimited,4.9,241,Pakistan,Aug 2021,3 hours,3 days,English,3 orders in queue,False
Programming & Tech,website-development,level 1,"17,000+ Results",$95,$165,$195,3 days,5 days,7 days,Unlimited,Unlimited,Unlimited,5.0,111,India,Apr 2021,1 hour,2 days,English,5 orders in queue,False
Programming & Tech,website-development,level 1,"17,000+ Results",$150,$300,$500,2 days,5 days,7 days,2,3,5,5.0,17,Pakistan,Feb 2024,5 hours,1 week,"English, German",N/A,False
Programming & Tech,website-development,level 1,"17,000+ Results",$80,$250,$450,3 days,5 days,7 days,Unlimited,Unlimited,Unlimited,5.0,63,Pakistan,Mar 2021,1 hour,1 day,"English, French, Spanish, Italian",4 orders in queue,False
Programming & Tech,website-development,level 1,"17,000+ Results",$85,$295,$495,3 days,6 days,7 days,Unlimited,Unlimited,Unlimited,5.0,22,Bangladesh,Dec 2023,1 hour,1 day,"Bengali, English",1 order in queue,False
Programming & Tech,website-development,level 1,"17,000+ Results",$100,$380,$680,4 days,5 days,10 days,Unlimited,Unlimited,Unlimited,5.0,15,Bangladesh,Dec 2023,1 hour,1 day,"Bengali, English",1 order in queue,False
Programming & Tech,website-development,level 1,"17,000+ Results",$90,$290,$490,3 days,7 days,10 days,3,9,Unlimited,4.9,528,Bangladesh,Nov 2017,1 hour,4 days,"English, German, Spanish, Dutch",5 orders in queue,False
Programming & Tech,website-development,level 1,"17,000+ Results",€87.08,€193.52,€338.66,3 days,5 days,7 days,3,6,9,4.8,38,Pakistan,Jul 2023,1 hour,2 days,"English, German, Spanish",2 orders in queue,False
