Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Programming & Tech,website-development,new seller,"120,000+ Results","£2,472","£4,943","£12,358",21 days,30 days,60 days,-1,-1,-1,5.0,2,Macedonia [FYROM],Oct 2019,2 hours,2 days,English,N/A,False
Programming & Tech,website-development,new seller,"120,000+ Results",$90,$170,$320,3 days,10 days,21 days,-1,-1,-1,5.0,7,Lithuania,Nov 2021,1 hour,8 months,"English, Russian, French, Turkish",N/A,False
Programming & Tech,website-development,new seller,"120,000+ Results","$1,500","$3,000","$6,000",10 days,14 days,21 days,1,3,Unlimited,4.8,44,Macedonia [FYROM],Oct 2019,2 hours,2 days,English,N/A,False
Programming & Tech,website-development,new seller,"120,000+ Results",$80,$100,$150,1 day,2 days,4 days,Unlimited,Unlimited,Unlimited,5.0,1,Sri Lanka,Jul 2018,1 hour,about 5 hours,"English, Sinhala",N/A,False
Programming & Tech,website-development,new seller,"120,000+ Results",$660,$990,"$1,385",7 days,14 days,21 days,1,3,Unlimited,5.0,101,Bangladesh,Oct 2022,1 hour,about 4 hours,"English, Hindi, French, Arabic",2 orders in queue,False
Programming & Tech,website-development,new seller,"120,000+ Results",$80,$175,$300,4 days,5 days,6 days,Unlimited,Unlimited,Unlimited,5.0,10,Pakistan,Apr 2024,1 hour,1 week,"English, French, German",1 order in queue,False
Programming & Tech,website-development,new seller,"120,000+ Results",$120,$240,$460,3 days,5 days,7 days,3,6,9,4.9,450,Bangladesh,Nov 2017,1 hour,about 14 hours,English,7 orders in queue,False
Programming & Tech,website-development,new seller,"120,000+ Results",$250,$450,$650,5 days,7 days,10 days,Unlimited,Unlimited,Unlimited,5.0,32,Italy,Jan 2018,1 hour,about 4 hours,"English, Italian",1 order in queue,False
Programming & Tech,website-development,new seller,"120,000+ Results",$125,$195,$385,2 days,6 days,10 days,2,8,Unlimited,5.0,124,Pakistan,Aug 2019,1 hour,about 15 hours,"Urdu, English, Hindi, German",4 orders in queue,False
Programming & Tech,website-development,new seller,"120,000+ Results",$90,$250,"$1,195",3 days,7 days,14 days,4,Unlimited,Unlimited,5.0,300,Bangladesh,Mar 2020,1 hour,about 7 hours,"English, Spanish, German, Italian",2 orders in queue,False
Programming & Tech,website-development,new seller,"120,000+ Results",€77.41,€96.76,€193.52,3 days,4 days,6 days,-1,-1,-1,4.9,84,Pakistan,May 2023,1 hour,6 days,"English, Urdu, French",1 order in queue,False
