Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Programming & Tech,website-development,top rated seller,"2,000+ Results",$80,$200,$350,6 days,10 days,14 days,Unlimited,Unlimited,Unlimited,5.0,745,Pakistan,Oct 2018,1 hour,1 day,"Urdu, English",1 order in queue,False
Programming & Tech,website-development,top rated seller,"2,000+ Results",€488.64,€682.16,€778.92,7 days,10 days,14 days,2,2,Unlimited,5.0,183,United Kingdom,Feb 2019,5 hours,3 days,English,4 orders in queue,False
Programming & Tech,website-development,top rated seller,"2,000+ Results",€125.79,€266.09,€387.04,4 days,5 days,7 days,1,5,7,5.0,432,Pakistan,Apr 2020,1 hour,about 15 hours,"Urdu, Punjabi, English",2 orders in queue,False
Programming & Tech,website-development,top rated seller,"2,000+ Results",$315,$695,$995,5 days,10 days,14 days,Unlimited,Unlimited,Unlimited,4.9,425,United States,Jun 2020,1 hour,1 day,"English, German, Spanish",12 orders in queue,False
Programming & Tech,website-development,top rated seller,"2,000+ Results",$130,$295,$495,3 days,5 days,7 days,Unlimited,Unlimited,Unlimited,4.9,480,Bangladesh,Jan 2022,1 hour,1 day,English,24 orders in queue,False
Programming & Tech,website-development,top rated seller,"2,000+ Results",$145,$215,$325,7 days,7 days,10 days,Unlimited,Unlimited,Unlimited,4.9,"1,771",Pakistan,May 2018,2 hours,about 20 hours,"Urdu, English",41 orders in queue,False
Programming & Tech,website-development,top rated seller,"2,000+ Results",$100,$350,$695,4 days,5 days,7 days,Unlimited,Unlimited,Unlimited,5.0,12,Bangladesh,Oct 2022,1 hour,about 19 hours,"Bengali, English",N/A,False
Programming & Tech,website-development,top rated seller,"2,000+ Results",$80,$150,$250,4 days,7 days,10 days,Unlimited,Unlimited,Unlimited,5.0,"1,344",Pakistan,Feb 2018,1 hour,about 14 hours,"English, Urdu",20 orders in queue,False
Programming & Tech,website-development,top rated seller,"2,000+ Results",$80,$100,$120,2 days,2 days,3 days,6,Unlimited,Unlimited,4.9,"1,468",Pakistan,Feb 2019,1 hour,about 5 hours,"Urdu, Sindhi, English, Punjabi",72 orders in queue,False
Programming & Tech,website-development,top rated seller,"2,000+ Results",$95,$195,$495,3 days,7 days,10 days,Unlimited,Unlimited,Unlimited,4.9,545,Pakistan,Feb 2019,1 hour,about 13 hours,"Urdu, English",21 orders in queue,False
Programming & Tech,website-development,top rated seller,"2,000+ Results",$100,$295,$450,5 days,7 days,10 days,-1,-1,-1,4.9,425,Pakistan,Mar 2021,2 hours,about 9 hours,"English, French, Spanish",6 orders in queue,False
Programming & Tech,website-development,top rated seller,"2,000+ Results","$1,295","$1,565","$1,925",7 days,10 days,14 days,2,2,3,5.0,609,Bulgaria,Mar 2018,2 hours,2 days,English,3 orders in queue,False
Programming & Tech,website-development,top rated seller,"2,000+ Results",$275,$695,"$1,275",7 days,14 days,21 days,Unlimited,Unlimited,Unlimited,5.0,"1,217",Pakistan,Mar 2015,1 hour,about 20 hours,"Urdu, English, French, German",12 orders in queue,False
Programming & Tech,website-development,top rated seller,"2,000+ Results",$80,$240,$390,7 days,14 days,21 days,1,3,Unlimited,5.0,146,Germany,Jul 2022,2 hours,3 days,"English, German, Spanish",5 orders in queue,False
Programming & Tech,website-development,top rated seller,"2,000+ Results",$100,$400,$800,3 days,5 days,7 days,Unlimited,Unlimited,Unlimited,5.0,98,Pakistan,May 2020,1 hour,1 day,"English, Spanish, German, French",1 order in queue,False
Programming & Tech,website-development,top rated seller,"2,000+ Results",$145,$245,$345,4 days,4 days,4 days,5,Unlimited,Unlimited,4.9,"3,196",India,Oct 2018,1 hour,about 1 hour,"English, Hindi",12 orders in queue,False
