Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Programming & Tech,website-maintenance,level 1,7700,$25,$280,$500,1 day,2 days,5 days,-1,-1,-1,5.0,9,Bangladesh,Mar 2018,1 hour,3 weeks,"English, Hindi, Polish, German",N/A,False
Programming & Tech,website-maintenance,level 1,7700,$10,$15,$40,1 day,1 day,3 days,-1,-1,-1,4.9,16,Pakistan,Mar 2022,1 hour,4 days,"English, German, Italian, French",N/A,False
Programming & Tech,website-maintenance,level 1,7700,$80,$120,$200,1 day,2 days,3 days,-1,-1,-1,5.0,9,Bangladesh,Jul 2023,1 hour,1 day,"English, Bengali",N/A,False
Programming & Tech,website-maintenance,level 1,7700,$30,$85,$160,1 day,2 days,3 days,-1,-1,-1,4.7,16,Pakistan,Sep 2020,1 hour,3 days,English,N/A,False
Programming & Tech,website-maintenance,level 1,7700,$45,$150,$450,3 days,7 days,14 days,-1,-1,-1,5.0,"1,150",Pakistan,Sep 2015,3 hours,3 days,English,9 orders in queue,False
Programming & Tech,website-maintenance,level 1,7700,$85,$200,"$1,500",14 days,21 days,30 days,-1,-1,-1,4.9,161,Pakistan,Jan 2018,1 hour,1 day,"English, Vietnamese, Thai, Dutch",3 orders in queue,False
Programming & Tech,website-maintenance,level 1,7700,$225,$450,$675,7 days,10 days,14 days,-1,-1,-1,5.0,86,United States,Jul 2021,9 hours,5 days,English,7 orders in queue,False
Programming & Tech,website-maintenance,level 1,7700,$10,$20,$30,1 day,2 days,2 days,-1,-1,-1,5.0,132,Bangladesh,Oct 2022,1 hour,1 day,"Bengali, English, German, Hindi",2 orders in queue,False
Programming & Tech,website-maintenance,level 1,7700,US$30,US$45,US$65,1 day,2 days,3 days,-1,-1,-1,4.9,12,Bangladesh,Sept 2023,1 hour,6 days,"English, Spanish, German",N/A,False
Programming & Tech,website-maintenance,level 1,7700,US$30,US$50,US$150,1 day,1 day,2 days,1,2,Unlimited,4.8,86,Bangladesh,Sept 2020,1 hour,1 day,English,1 order in queue,False
Programming & Tech,website-maintenance,level 1,7700,US$25,US$120,US$240,1 day,3 days,5 days,-1,-1,-1,5.0,37,Bangladesh,Feb 2022,1 hour,4 days,"English, Spanish, German, Italian",1 order in queue,False
Programming & Tech,website-maintenance,level 1,7700,$15,$45,$90,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,4.8,70,Bangladesh,Mar 2020,1 hour,1 day,"English, Bengali, French",2 orders in queue,False
Programming & Tech,website-maintenance,level 1,7700,$20,$40,$60,1 day,1 day,2 days,Unlimited,Unlimited,Unlimited,5.0,102,Bangladesh,Aug 2020,1 hour,1 day,English,N/A,False
Programming & Tech,website-maintenance,level 1,7700,$30,$30,$30,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,251,Bangladesh,Dec 2020,2 hours,about 23 hours,"Bengali, English, Hindi, Urdu",11 orders in queue,True
Programming & Tech,website-maintenance,level 1,7700,$15,$25,$35,1 day,1 day,1 day,3,6,Unlimited,4.9,81,Bangladesh,Jun 2021,1 hour,1 day,"German, French, Spanish, English",1 order in queue,False
Programming & Tech,website-maintenance,level 1,7700,$25,$60,$150,3 days,5 days,7 days,-1,-1,-1,4.5,9,Nigeria,Oct 2022,1 hour,3 days,"French, Italian, English",N/A,False
Programming & Tech,website-maintenance,level 1,7700,$30,$130,$230,2 days,5 days,7 days,-1,-1,-1,4.8,19,Bangladesh,Apr 2021,1 hour,2 days,"English, German, French, Russian",11 orders in queue,False
