Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Programming & Tech,website-maintenance,top rated seller,928,$95,$195,$490,5 days,7 days,10 days,-1,-1,-1,5.0,6,Ukraine,Sep 2018,1 hour,2 days,"English, Spanish, German, French",2 orders in queue,False
Programming & Tech,website-maintenance,top rated seller,928,$40,$90,$135,1 day,3 days,5 days,Unlimited,Unlimited,Unlimited,5.0,234,Netherlands,Apr 2012,1 hour,about 8 hours,"English, Dutch, Spanish, German",1 order in queue,False
Programming & Tech,website-maintenance,top rated seller,928,$35,$95,$745,4 days,5 days,30 days,-1,-1,-1,4.9,287,France,Oct 2012,1 hour,about 6 hours,"English, French",1 order in queue,False
Programming & Tech,website-maintenance,top rated seller,928,$30,$75,$85,2 days,2 days,2 days,-1,-1,-1,5.0,"5,174",India,Nov 2016,1 hour,about 15 hours,"English, French, German, Spanish",7 orders in queue,False
Programming & Tech,website-maintenance,top rated seller,928,$270,$390,$520,4 days,5 days,5 days,-1,-1,-1,5.0,390,Greece,Feb 2014,2 hours,2 weeks,"English, Greek",N/A,False
Programming & Tech,website-maintenance,top rated seller,928,$100,$250,$450,4 days,5 days,5 days,-1,-1,-1,4.9,24,Australia,Mar 2018,6 hours,4 days,English,N/A,False
Programming & Tech,website-maintenance,top rated seller,928,$50,$95,$150,3 days,3 days,3 days,-1,-1,-1,5.0,"1,666",Pakistan,Sep 2019,1 hour,about 4 hours,"Urdu, English",4 orders in queue,False
Programming & Tech,website-maintenance,top rated seller,928,$245,$245,$245,5-day delivery,5-day delivery,5-day delivery,-1,-1,-1,4.9,212,India,Oct 2018,1 hour,about 21 hours,"English, Hindi",N/A,True
Programming & Tech,website-maintenance,top rated seller,928,$35,$50,$150,3 days,4 days,4 days,-1,-1,-1,4.9,"4,993",United Kingdom,N/A,5 hours,1 day,English,3 orders in queue,False
Programming & Tech,website-maintenance,top rated seller,928,$50,$80,$120,3 days,5 days,7 days,-1,-1,-1,4.9,774,Serbia,Apr 2013,5 hours,1 day,"English, Serbian",2 orders in queue,False
Programming & Tech,website-maintenance,top rated seller,928,$30,$70,$100,1 day,3 days,5 days,-1,-1,-1,5.0,692,Pakistan,Jun 2019,3 hours,about 10 hours,English,7 orders in queue,False
Programming & Tech,website-maintenance,top rated seller,928,$65,$195,$550,2 days,4 days,10 days,-1,-1,-1,5.0,275,Pakistan,Oct 2017,2 hours,3 days,"Urdu, English, Hindi",N/A,False
Programming & Tech,website-maintenance,top rated seller,928,$20,$20,$20,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,5.0,620,Pakistan,Jun 2019,1 hour,1 day,"Urdu, English, Spanish",N/A,True
Programming & Tech,website-maintenance,top rated seller,928,$40,$60,$100,1 day,1 day,2 days,-1,-1,-1,5.0,49,Bangladesh,Mar 2017,1 hour,2 days,"English, Bengali, Hindi",1 order in queue,False
Programming & Tech,website-maintenance,top rated seller,928,$30,$40,$50,1 day,1 day,1 day,-1,-1,-1,5.0,"1,089",India,Oct 2012,1 hour,1 day,"Hindi, English",6 orders in queue,False
Programming & Tech,website-maintenance,top rated seller,928,$30,$75,$120,3 days,3 days,2 days,-1,-1,-1,5.0,"3,467",India,Jun 2016,1 hour,1 day,"English, Hindi",3 orders in queue,False
Programming & Tech,website-maintenance,top rated seller,928,$25,$35,$50,1 day,2 days,2 days,-1,-1,-1,5.0,"1,919",Pakistan,Sep 2015,2 hours,1 day,English,5 orders in queue,False
Programming & Tech,website-maintenance,top rated seller,928,$20,$35,$60,1 day,2 days,3 days,5,3,2,5.0,11,Pakistan,Jun 2017,1 hour,1 day,English,2 orders in queue,False
Programming & Tech,website-maintenance,top rated seller,928,$85,$125,$195,1 day,3 days,3 days,-1,-1,-1,4.9,647,Pakistan,Nov 2015,1 hour,about 6 hours,"English, Punjabi, Urdu",N/A,False
Programming & Tech,website-maintenance,top rated seller,928,$100,$150,$200,2 days,3 days,5 days,-1,-1,-1,5.0,5,Pakistan,May 2020,1 hour,about 19 hours,"English, Spanish",N/A,False
Programming & Tech,website-maintenance,top rated seller,928,$290,$360,$460,14 days,14 days,14 days,-1,-1,-1,5.0,21,Moldova,Nov 2014,1 hour,about 8 hours,"English, Romanian, French, Russian",1 order in queue,False
Programming & Tech,website-maintenance,top rated seller,928,$20,$35,$50,1 day,2 days,3 days,2,5,5,5.0,819,Pakistan,Aug 2017,1 hour,2 days,"English, Urdu, Punjabi",N/A,False
Programming & Tech,website-maintenance,top rated seller,928,$15,$45,$95,3 days,4 days,1 day,1,3,3,5.0,"1,627",Pakistan,Aug 2015,1 hour,about 6 hours,"Urdu, English",4 orders in queue,False
