Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Video & Animation,3d-product-animation,level 1,697,$300,$420,$590,4 days,6 days,7 days,3,3,3,4.9,11,Germany,Jan 2022,1 hour,3 months,"English, German",N/A,False
Video & Animation,3d-product-animation,level 1,697,$150,$200,$400,5 days,10 days,14 days,5,7,9,4.7,194,Sri Lanka,Sep 2018,3 hours,1 day,"English, Sinhala",3 orders in queue,False
Video & Animation,3d-product-animation,level 1,697,$150,$300,$400,3 days,5 days,7 days,Unlimited,Unlimited,Unlimited,4.8,114,Sri Lanka,Dec 2021,4 hours,2 days,English,6 orders in queue,False
Video & Animation,3d-product-animation,level 1,697,$100,$200,$400,5 days,7 days,10 days,2,3,5,4.8,72,Qatar,Jul 2019,1 hour,1 week,English,2 orders in queue,False
Video & Animation,3d-product-animation,level 1,697,$280,$380,$560,4 days,7 days,14 days,3,3,3,4.9,102,India,Dec 2019,1 hour,1 week,English,1 order in queue,False
Video & Animation,3d-product-animation,level 1,697,$55,$135,$250,3 days,4 days,5 days,2,3,5,5.0,8,United States,Sep 2020,1 hour,1 day,English,2 orders in queue,False
Video & Animation,3d-product-animation,level 1,697,€174.04,€338.41,€483.44,10 days,14 days,21 days,4,5,6,5.0,6,Sri Lanka,Jul 2019,1 hour,2 weeks,English,N/A,False
Video & Animation,3d-product-animation,level 1,697,$125,$200,$295,5 days,7 days,10 days,3,5,9,5.0,4,Bangladesh,May 2021,1 hour,1 day,"Bengali, English",4 orders in queue,False
Video & Animation,3d-product-animation,level 1,697,$100,$250,$450,4 days,5 days,10 days,1,3,Unlimited,4.6,208,Pakistan,Jul 2013,3 hours,1 day,English,3 orders in queue,False
Video & Animation,3d-product-animation,level 1,697,$100,$150,$200,3 days,5 days,7 days,Unlimited,Unlimited,Unlimited,4.8,64,Pakistan,May 2021,1 hour,3 days,English,N/A,False
Video & Animation,3d-product-animation,level 1,697,€386.75,€773.51,"€1,161",5 days,7 days,10 days,1,1,2,5.0,4,Moldova,Mar 2016,2 hours,2 months,"Romanian, English",N/A,False
Video & Animation,3d-product-animation,level 1,697,$55,$90,$175,2 days,3 days,4 days,1,2,3,4.9,19,Indonesia,May 2020,4 hours,2 weeks,English,1 order in queue,False
Video & Animation,3d-product-animation,level 1,697,€178.87,€483.44,"€1,451",5 days,7 days,10 days,1,1,3,5.0,1,Germany,Jun 2019,11 hours,2 months,"English, German, Spanish",N/A,False
Video & Animation,3d-product-animation,level 1,697,$195,$395,$595,6 days,10 days,21 days,3,4,4,4.8,13,Bangladesh,Jan 2019,1 hour,1 month,"Bengali, English, Hindi",2 orders in queue,False
Video & Animation,3d-product-animation,level 1,697,$125,$350,$600,3 days,6 days,10 days,Unlimited,Unlimited,Unlimited,4.9,118,Bangladesh,Jan 2023,1 hour,1 day,"Bengali, English, German",8 orders in queue,False
Video & Animation,3d-product-animation,level 1,697,$450,$900,"$1,800",10 days,14 days,21 days,0,1,2,5.0,31,Albania,Sep 2017,1 hour,3 months,"English, Albanian, German",N/A,False
Video & Animation,3d-product-animation,level 1,697,$850,"$1,150","$1,450",10 days,21 days,30 days,3,3,3,5.0,48,United Kingdom,Oct 2020,1 hour,3 days,"English, Spanish, Catalan, Italian",1 order in queue,False
Video & Animation,3d-product-animation,level 1,697,$120,$250,$500,3 days,7 days,10 days,-1,-1,-1,1.0,1,United Kingdom,Feb 2024,1 hour,1 day,"English, Spanish, Portuguese, German",N/A,False
Video & Animation,3d-product-animation,level 1,697,$35,$125,$300,3 days,7 days,14 days,1,3,5,4.9,9,Kosovo,Apr 2022,1 hour,1 week,"English, Albanian",N/A,False
Video & Animation,3d-product-animation,level 1,697,$70,$140,$210,7 days,10 days,14 days,3,3,3,5.0,9,Pakistan,Nov 2023,1 hour,1 week,"English, Urdu",N/A,False
Video & Animation,3d-product-animation,level 1,697,$100,$350,$700,4 days,6 days,14 days,2,3,5,5.0,15,Bangladesh,Feb 2017,4 hours,about 8 hours,"Bengali, English, Hindi",4 orders in queue,False
Video & Animation,3d-product-animation,level 1,697,$100,$300,$800,4 days,7 days,14 days,2,2,2,5.0,12,Germany,Apr 2020,5 hours,1 week,"German, English",1 order in queue,False
Video & Animation,3d-product-animation,level 1,697,$100,$400,$800,3 days,10 days,14 days,-1,-1,-1,5.0,6,Spain,Mar 2024,1 hour,about 7 hours,"English, French, German, Spanish",3 orders in queue,False
Video & Animation,3d-product-animation,level 1,697,$150,$300,$450,7 days,10 days,14 days,2,2,3,5.0,24,Bangladesh,May 2020,1 hour,2 weeks,English,1 order in queue,False
Video & Animation,3d-product-animation,level 1,697,$150,$320,$400,2 days,5 days,14 days,0,1,2,4.8,41,India,Aug 2017,1 hour,3 days,"English, Hindi",1 order in queue,False
Video & Animation,3d-product-animation,level 1,697,$280,$380,$560,4 days,7 days,14 days,3,3,3,4.9,102,India,Dec 2019,1 hour,1 week,English,1 order in queue,False
Video & Animation,3d-product-animation,level 1,697,$300,$630,$900,10 days,14 days,21 days,2,4,5,5.0,12,Morocco,Nov 2021,2 hours,1 week,"English, Arabic, French",N/A,False
Video & Animation,3d-product-animation,level 1,697,$180,$300,$500,7 days,10 days,14 days,5,6,7,4.8,137,Sri Lanka,Jul 2019,1 hour,2 weeks,English,N/A,False
