Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Video & Animation,3d-product-animation,new seller,6200,$500,"$1,400","$2,200",7 days,14 days,21 days,1,3,5,5.0,11,Kazakhstan,Mar 2022,10 hours,4 weeks,"English, Russian, Korean",N/A,False
Video & Animation,3d-product-animation,new seller,6200,$350,$550,$700,10 days,14 days,21 days,-1,-1,-1,4.9,24,Tunisia,Mar 2017,1 hour,7 months,"Arabic, French, English",N/A,False
Video & Animation,3d-product-animation,new seller,6200,$450,$750,$990,7 days,14 days,21 days,1,1,1,4.3,5,Bangladesh,Feb 2015,1 hour,5 months,English,N/A,False
Video & Animation,3d-product-animation,new seller,6200,$400,$600,"$1,500",10 days,14 days,21 days,4,8,9,4.8,31,Nigeria,Dec 2016,1 hour,2 days,English,1 order in queue,False
Video & Animation,3d-product-animation,new seller,6200,$100,$230,$350,3 days,7 days,14 days,2,3,5,5.0,52,Sri Lanka,Jan 2020,1 hour,2 weeks,English,N/A,False
Video & Animation,3d-product-animation,new seller,6200,$100,$150,$350,3 days,7 days,10 days,1,1,2,5.0,3,Pakistan,Jun 2022,3 hours,2 weeks,"Urdu, English",1 order in queue,False
Video & Animation,3d-product-animation,new seller,6200,"$1,600","$3,500","$5,500",4 days,10 days,21 days,3,3,3,5.0,2,Georgia,Feb 2023,2 days,3 months,English,N/A,False
Video & Animation,3d-product-animation,new seller,6200,$200,$400,$600,7 days,10 days,14 days,2,5,5,4.7,11,India,Jun 2019,1 hour,1 week,English,1 order in queue,False
Video & Animation,3d-product-animation,new seller,6200,$250,$500,$800,4 days,7 days,14 days,2,3,5,4.9,65,Pakistan,Sep 2021,N/A,1 week,"English, Spanish, German, French",N/A,False
Video & Animation,3d-product-animation,new seller,6200,$100,$200,$400,7 days,14 days,21 days,-1,-1,-1,5.0,4,Latvia,Apr 2024,1 hour,6 days,"English, Spanish, French",2 orders in queue,False
Video & Animation,3d-product-animation,new seller,6200,$150,$350,$700,2 days,4 days,10 days,1,2,3,4.7,15,Georgia,Jun 2020,1 hour,2 months,"English, Georgian, Russian",N/A,False
