Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Video & Animation,3d-product-animation,top rated seller,122,$100,$250,$500,5 days,10 days,14 days,Unlimited,Unlimited,Unlimited,4.9,118,India,Dec 2015,1 hour,1 day,English,2 orders in queue,False
Video & Animation,3d-product-animation,top rated seller,122,$100,$250,$500,5 days,10 days,14 days,Unlimited,Unlimited,Unlimited,4.9,118,India,Dec 2015,1 hour,1 day,English,2 orders in queue,False
Video & Animation,3d-product-animation,top rated seller,122,$250,$600,$850,10 days,14 days,21 days,2,3,5,5.0,96,Ukraine,Jun 2021,1 hour,2 days,English,1 order in queue,False
Video & Animation,3d-product-animation,top rated seller,122,$300,$550,$800,10 days,14 days,21 days,2,3,5,4.9,207,Mexico,Aug 2020,1 hour,1 day,"Spanish, English",N/A,False
Video & Animation,3d-product-animation,top rated seller,122,$800,"$1,400","$2,200",10 days,14 days,21 days,1,1,1,5.0,7,Philippines,Nov 2012,1 hour,1 month,"English, Tagalog",N/A,False
Video & Animation,3d-product-animation,top rated seller,122,$200,$400,$600,4 days,10 days,21 days,Unlimited,Unlimited,Unlimited,5.0,37,Italy,Mar 2019,1 hour,about 12 hours,"English, Italian",2 orders in queue,False
Video & Animation,3d-product-animation,top rated seller,122,$200,$650,$850,3 days,7 days,10 days,1,3,4,5.0,24,Sri Lanka,Mar 2020,1 hour,1 month,"English, Sinhala",N/A,False
Video & Animation,3d-product-animation,top rated seller,122,$100,$290,$490,3 days,5 days,10 days,2,3,4,5.0,128,India,Sep 2021,4 hours,3 days,"English, Hindi",8 orders in queue,False
Video & Animation,3d-product-animation,top rated seller,122,$300,$550,$800,7 days,10 days,14 days,2,3,5,4.9,426,Mexico,Aug 2020,1 hour,1 day,"Spanish, English",3 orders in queue,False
Video & Animation,3d-product-animation,top rated seller,122,$900,"$1,500","$2,100",10 days,21 days,30 days,1,2,2,5.0,111,Georgia,Oct 2020,1 hour,5 days,English,1 order in queue,False
Video & Animation,3d-product-animation,top rated seller,122,$150,$300,$700,5 days,10 days,21 days,-1,-1,-1,4.9,17,Pakistan,Nov 2016,1 hour,2 days,"Urdu, English, Hindi",1 order in queue,False
Video & Animation,3d-product-animation,top rated seller,122,$500,$900,"$1,800",5 days,14 days,21 days,1,2,3,5.0,20,Ukraine,Nov 2020,1 hour,4 days,"English, Ukrainian, Russian",N/A,False
Video & Animation,3d-product-animation,top rated seller,122,$500,"$1,200","$3,000",5 days,10 days,21 days,1,2,3,5.0,247,United States,Aug 2019,2 hours,2 days,English,1 order in queue,False
