Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Video & Animation,animated-explainer-videos,level 1,198,$500,$700,$900,10 days,14 days,21 days,2,Unlimited,Unlimited,4.9,28,Nepal,May 2015,3 hours,3 days,English,N/A,False
Video & Animation,animated-explainer-videos,level 1,198,$60,$120,$180,4 days,4 days,5 days,Unlimited,Unlimited,Unlimited,4.9,167,United States,Jun 2021,1 hour,about 4 hours,English,6 orders in queue,False
Video & Animation,animated-explainer-videos,level 1,198,$50,$95,$130,1 day,1 day,3 days,Unlimited,Unlimited,Unlimited,4.9,"1,208",Pakistan,Jun 2016,1 hour,about 16 hours,"English, Spanish, German, French",8 orders in queue,False
Video & Animation,animated-explainer-videos,level 1,198,$35,$60,$110,2 days,3 days,6 days,1,3,5,4.9,28,Pakistan,Jan 2023,1 hour,2 days,"Urdu, English",1 order in queue,False
Video & Animation,animated-explainer-videos,level 1,198,$40,$195,$300,4 days,5 days,7 days,0,Unlimited,Unlimited,4.8,82,United Kingdom,Oct 2021,3 hours,5 days,"English, French, German, Italian",3 orders in queue,False
Video & Animation,animated-explainer-videos,level 1,198,$10,$15,$20,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,5,Pakistan,Jan 2022,1 hour,2 days,English,N/A,False
Video & Animation,animated-explainer-videos,level 1,198,$25,$60,$200,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,105,Pakistan,Mar 2020,1 hour,4 days,English,1 order in queue,False
Video & Animation,animated-explainer-videos,level 1,198,$50,$125,$250,3 days,7 days,14 days,3,3,3,4.8,227,India,N/A,1 hour,3 days,"English, Hindi",2 orders in queue,False
Video & Animation,animated-explainer-videos,level 1,198,$50,$125,$250,3 days,7 days,14 days,3,3,3,4.8,227,India,N/A,1 hour,3 days,"English, Hindi",2 orders in queue,False
Video & Animation,animated-explainer-videos,level 1,198,$50,$100,$150,4 days,4 days,4 days,Unlimited,Unlimited,Unlimited,4.9,"1,692",Pakistan,Jul 2015,1 hour,about 2 hours,"Urdu, English",4 orders in queue,False
Video & Animation,animated-explainer-videos,level 1,198,$60,$120,$180,4 days,4 days,5 days,Unlimited,Unlimited,Unlimited,4.9,529,Pakistan,Jul 2015,1 hour,about 2 hours,"Urdu, English",12 orders in queue,False
Video & Animation,animated-explainer-videos,level 1,198,$60,$120,$180,4 days,4 days,5 days,Unlimited,Unlimited,Unlimited,4.9,167,United States,Jun 2021,1 hour,about 4 hours,English,6 orders in queue,False
Video & Animation,animated-explainer-videos,level 1,198,$300,$500,$600,4 days,7 days,10 days,3,5,7,4.8,203,Pakistan,Jun 2019,1 hour,1 week,"English, German, Spanish, French",9 orders in queue,False
