Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Video & Animation,animated-explainer-videos,new seller,1773,"$6,500","$9,750","$12,000",30 days,45 days,45 days,2,2,2,4.9,16,Israel,Jun 2017,1 hour,11 months,"English, Russian",N/A,False
Video & Animation,animated-explainer-videos,new seller,1773,$100,$200,$400,10 days,10 days,10 days,-1,-1,-1,5.0,229,India,Jul 2019,1 hour,2 months,"French, Spanish, German, Chinese",2 orders in queue,False
Video & Animation,animated-explainer-videos,new seller,1773,$30,$50,$90,3 days,3 days,3 days,Unlimited,Unlimited,Unlimited,5.0,19,Pakistan,Aug 2023,1 hour,2 days,"English, Urdu, French, Spanish",2 orders in queue,False
Video & Animation,animated-explainer-videos,new seller,1773,$25,$45,$65,3 days,3 days,3 days,Unlimited,Unlimited,Unlimited,5.0,16,Pakistan,Nov 2022,1 hour,about 4 hours,"English, German, Spanish, French",1 order in queue,False
Video & Animation,animated-explainer-videos,new seller,1773,$5,$10,$25,2 days,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,21,Pakistan,Jun 2018,1 hour,about 4 hours,"Urdu, English, Hindi, French",4 orders in queue,False
Video & Animation,animated-explainer-videos,new seller,1773,$5,$10,$20,1 day,3 days,5 days,Unlimited,Unlimited,Unlimited,5.0,18,Pakistan,Nov 2021,1 hour,2 days,"English, Urdu, Arabic",1 order in queue,False
Video & Animation,animated-explainer-videos,new seller,1773,$20,$45,$95,2 days,3 days,4 days,2,5,Unlimited,4.9,16,Pakistan,Sep 2021,1 hour,3 weeks,English,1 order in queue,False
Video & Animation,animated-explainer-videos,new seller,1773,$20,$65,$90,2 days,3 days,4 days,5,Unlimited,Unlimited,5.0,14,United Kingdom,Jan 2024,1 hour,3 weeks,English,N/A,False
Video & Animation,animated-explainer-videos,new seller,1773,$5,$10,$15,2 days,3 days,7 days,Unlimited,Unlimited,Unlimited,5.0,24,Pakistan,Dec 2020,3 hours,1 day,"Urdu, English, Hindi, Arabic",4 orders in queue,False
Video & Animation,animated-explainer-videos,new seller,1773,$10,$30,$60,2 days,3 days,3 days,Unlimited,Unlimited,Unlimited,5.0,17,Pakistan,Dec 2023,1 hour,1 week,"English, Spanish, French, German",N/A,False
