Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Video & Animation,animated-explainer-videos,top rated seller,6176,$85,$135,$175,3 days,3 days,3 days,Unlimited,Unlimited,Unlimited,5.0,1,Pakistan,May 2015,1 hour,about 2 hours,"Urdu, English",1 order in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$150,$250,$350,14 days,14 days,14 days,Unlimited,Unlimited,Unlimited,5.0,"1,052",Turkey,Aug 2014,5 hours,about 14 hours,"English, Turkish, German",14 orders in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$95,$180,$250,3 days,4 days,5 days,3,3,3,4.9,356,India,Oct 2014,3 hours,about 13 hours,"English, Hindi",3 orders in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$285,$315,$365,30 days,30 days,30 days,3,3,3,5.0,897,Romania,Jan 2016,8 hours,5 days,English,8 orders in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$85,$135,$170,5 days,6 days,7 days,Unlimited,Unlimited,Unlimited,5.0,3,India,Feb 2019,3 hours,about 18 hours,"English, Spanish, German, French",1 order in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$75,$150,$300,10 days,14 days,14 days,Unlimited,Unlimited,Unlimited,5.0,98,Macedonia [FYROM],Nov 2015,1 hour,2 weeks,English,1 order in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$125,$200,$275,6 days,6 days,7 days,4,4,4,5.0,754,Sri Lanka,Nov 2013,1 hour,1 day,"Sinhala, English",N/A,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$250,$550,$950,10 days,21 days,30 days,1,2,4,5.0,249,India,May 2018,5 hours,3 days,"Hindi, English",4 orders in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$400,$600,$650,6 days,10 days,10 days,3,Unlimited,Unlimited,4.9,726,Indonesia,Jun 2015,1 hour,about 10 hours,"English, Spanish, German, French",23 orders in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$140,$280,$380,7 days,10 days,10 days,7,Unlimited,Unlimited,5.0,"1,015",India,Jul 2017,1 hour,2 days,English,6 orders in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$150,$200,$300,5 days,7 days,10 days,3,Unlimited,Unlimited,4.9,661,Indonesia,Jun 2015,1 hour,about 10 hours,"English, Spanish, German, French",6 orders in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$160,$300,$430,3 days,5 days,7 days,Unlimited,Unlimited,Unlimited,5.0,46,Colombia,Feb 2019,1 hour,1 week,"English, Spanish",N/A,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$125,$225,$325,10 days,14 days,14 days,Unlimited,Unlimited,Unlimited,5.0,302,Romania,Sep 2018,3 hours,1 day,English,7 orders in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$60,$90,$150,3 days,5 days,5 days,Unlimited,Unlimited,Unlimited,4.8,870,Turkey,Jul 2014,1 hour,about 12 hours,English,16 orders in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$150,$280,$380,7 days,10 days,10 days,Unlimited,Unlimited,Unlimited,4.9,"1,098",India,Jul 2015,1 hour,1 day,"English, Hindi, Punjabi",24 orders in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$145,$225,$295,4 days,4 days,6 days,Unlimited,Unlimited,Unlimited,4.9,367,Pakistan,Sep 2015,1 hour,1 day,"Urdu, English",4 orders in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$105,$135,$195,2 days,2 days,4 days,Unlimited,Unlimited,Unlimited,5.0,"1,433",Pakistan,Sep 2015,1 hour,1 day,"Urdu, English",2 orders in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$60,$80,$100,6 days,6 days,6 days,Unlimited,Unlimited,Unlimited,4.9,563,Pakistan,Sep 2017,1 hour,3 days,"Urdu, English, Arabic, Hindi",2 orders in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$120,$240,$360,7 days,7 days,7 days,Unlimited,Unlimited,Unlimited,4.9,16,Pakistan,Jan 2018,2 hours,about 21 hours,"English, Spanish, German, French",3 orders in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,"$3,750","$5,900","$7,500",21 days,30 days,45 days,3,4,5,5.0,60,Armenia,Nov 2017,4 hours,about 10 hours,"English, Armenian, Russian",1 order in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$120,$200,$270,7 days,7 days,7 days,Unlimited,Unlimited,Unlimited,5.0,"4,015",Pakistan,Aug 2014,2 hours,about 5 hours,"Urdu, English, Hindi, Punjabi",20 orders in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$75,$225,$450,5 days,5 days,5 days,3,3,3,5.0,"5,396",India,May 2014,1 hour,about 6 hours,"Hindi, English",3 orders in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$300,$600,$900,10 days,14 days,21 days,Unlimited,Unlimited,Unlimited,4.9,33,Egypt,Feb 2017,1 hour,2 days,"English, Spanish, German",N/A,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$125,$135,$150,7 days,7 days,7 days,-1,-1,-1,5.0,567,United States,N/A,1 hour,about 6 hours,English,1 order in queue,False
Video & Animation,animated-explainer-videos,top rated seller,6176,$95,$195,$255,3 days,5 days,5 days,2,Unlimited,Unlimited,5.0,837,Pakistan,Sep 2018,1 hour,about 15 hours,"Urdu, English",4 orders in queue,False
