Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Video & Animation,logo-animation-services,level 1,2000,$50,$100,$150,3 days,5 days,7 days,2,2,2,4.9,17,India,Apr 2019,1 hour,3 weeks,English,N/A,False
Video & Animation,logo-animation-services,level 1,2000,$35,$65,$110,2 days,2 days,2 days,Unlimited,Unlimited,Unlimited,4.8,405,United Kingdom,Feb 2020,1 hour,about 21 hours,"English, Hindi",4 orders in queue,False
Video & Animation,logo-animation-services,level 1,2000,$30,$40,$50,3 days,2 days,2 days,2,3,5,4.9,90,Pakistan,Aug 2021,1 hour,about 11 hours,"English, Spanish, German, French",2 orders in queue,False
Video & Animation,logo-animation-services,level 1,2000,$15,$20,$25,5 days,5 days,4 days,Unlimited,Unlimited,Unlimited,4.9,624,Pakistan,Aug 2016,3 hours,1 day,"English, French, Spanish",9 orders in queue,False
Video & Animation,logo-animation-services,level 1,2000,$35,$65,$110,2 days,2 days,2 days,Unlimited,Unlimited,Unlimited,4.8,405,United Kingdom,Feb 2020,1 hour,about 21 hours,"English, Hindi",4 orders in queue,False
Video & Animation,logo-animation-services,level 1,2000,$50,$100,$175,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,4.9,9,Sri Lanka,May 2021,1 hour,1 week,"English, French, Spanish, German",N/A,False
Video & Animation,logo-animation-services,level 1,2000,$30,$50,$90,1 day,2 days,5 days,5,5,Unlimited,5.0,5,Turkey,Dec 2023,1 hour,1 day,"English, Turkish, Persian",2 orders in queue,False
Video & Animation,logo-animation-services,level 1,2000,$40,$100,$150,1 day,2 days,4 days,1,2,3,5.0,87,Ukraine,Sep 2022,1 hour,3 days,"English, Russian, Ukrainian",1 order in queue,False
Video & Animation,logo-animation-services,level 1,2000,$10,$20,$30,1 day,1 day,1 day,2,4,6,5.0,"13,066",Ukraine,Jun 2014,1 hour,about 9 hours,"English, Ukrainian, Russian",1 order in queue,False
Video & Animation,logo-animation-services,level 1,2000,$5,$10,$15,1 day,1 day,1 day,2,2,2,5.0,"2,914",Bangladesh,Mar 2019,1 hour,about 15 hours,English,N/A,False
Video & Animation,logo-animation-services,level 1,2000,$35,$65,$95,3 days,4 days,5 days,1,2,5,4.9,593,Haiti,Nov 2020,1 hour,2 days,English,3 orders in queue,False
Video & Animation,logo-animation-services,level 1,2000,$100,$150,$200,3 days,3 days,3 days,2,2,5,5.0,107,United States,Mar 2016,1 hour,6 days,"English, Urdu",1 order in queue,False
Video & Animation,logo-animation-services,level 1,2000,$10,$30,$85,1 day,1 day,4 days,Unlimited,Unlimited,Unlimited,4.9,"4,397",Pakistan,May 2019,1 hour,4 days,"Urdu, English, Hindi",N/A,False
Video & Animation,logo-animation-services,level 1,2000,$10,$20,$30,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,4.9,175,Sri Lanka,May 2018,1 hour,about 12 hours,"English, Spanish, German, French",N/A,False
Video & Animation,logo-animation-services,level 1,2000,$15,$25,$50,1 day,2 days,2 days,Unlimited,Unlimited,Unlimited,4.8,44,Pakistan,Nov 2023,2 hours,2 weeks,"English, German, French",N/A,False
Video & Animation,logo-animation-services,level 1,2000,$5,$20,$35,1 day,1 day,1 day,1,2,Unlimited,5.0,149,Bangladesh,Mar 2019,1 hour,about 15 hours,English,1 order in queue,False
Video & Animation,logo-animation-services,level 1,2000,$20,$40,$95,1 day,1 day,1 day,Unlimited,Unlimited,Unlimited,4.9,649,Pakistan,Dec 2018,1 hour,about 22 hours,"English, Spanish, French",2 orders in queue,False
Video & Animation,logo-animation-services,level 1,2000,$15,$35,$50,3 days,3 days,5 days,2,Unlimited,Unlimited,5.0,16,Moldova,Jan 2023,1 hour,1 week,"English, Romanian, Russian",N/A,False
Video & Animation,logo-animation-services,level 1,2000,$35,$65,$95,3 days,4 days,5 days,1,2,5,4.9,593,Haiti,Nov 2020,1 hour,2 days,English,3 orders in queue,False
Video & Animation,logo-animation-services,level 1,2000,€19.34,€33.84,€48.34,4 days,4 days,2 days,1,2,3,4.7,289,India,Mar 2017,1 hour,5 days,"Hindi, Urdu, English",N/A,False
Video & Animation,logo-animation-services,level 1,2000,€4.83,€19.34,€33.84,1 day,2 days,2 days,-1,-1,-1,4.9,19,Pakistan,Feb 2024,1 hour,about 21 hours,"Urdu, English, French, Spanish",4 orders in queue,False
