Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Video & Animation,logo-animation-services,new seller,5600,$10,$20,$40,2 days,3 days,3 days,1,1,3,4.8,33,United States,Apr 2014,8 hours,1 week,English,1 order in queue,False
Video & Animation,logo-animation-services,new seller,5600,$25,$50,$75,4 days,3 days,1 day,1,4,Unlimited,4.9,378,Turkey,Aug 2020,6 hours,about 21 hours,English,3 orders in queue,False
Video & Animation,logo-animation-services,new seller,5600,$10,$15,$25,1 day,1 day,1 day,5,Unlimited,Unlimited,4.9,134,Pakistan,Jun 2022,1 hour,1 week,"English, Spanish, French, Arabic",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$15,$30,$60,1 day,2 days,2 days,Unlimited,Unlimited,Unlimited,4.9,392,Pakistan,Oct 2020,1 hour,about 22 hours,English,N/A,False
Video & Animation,logo-animation-services,new seller,5600,$20,$40,$80,2 days,3 days,4 days,2,4,Unlimited,4.9,143,Pakistan,Sep 2019,1 hour,4 days,"Urdu, Hindi, English",9 orders in queue,False
Video & Animation,logo-animation-services,new seller,5600,$35,$55,$75,1 day,2 days,3 days,0,1,2,5.0,35,Morocco,Mar 2024,1 hour,4 days,"English, Spanish, French, German",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$15,$40,$70,1 day,1 day,3 days,3,3,2,4.9,182,Pakistan,Jun 2023,1 hour,about 21 hours,English,N/A,False
Video & Animation,logo-animation-services,new seller,5600,$20,$35,$55,3 days,3 days,3 days,1,3,6,5.0,18,Ukraine,Oct 2023,1 hour,2 days,"English, Ukrainian, Russian",2 orders in queue,False
Video & Animation,logo-animation-services,new seller,5600,$20,$30,$40,2 days,2 days,2 days,Unlimited,Unlimited,Unlimited,4.9,173,India,Dec 2017,1 hour,1 day,"English, Spanish, German",2 orders in queue,False
Video & Animation,logo-animation-services,new seller,5600,$15,$30,$50,1 day,2 days,3 days,1,3,6,5.0,89,Ukraine,May 2022,1 hour,5 days,"English, Ukrainian, Russian",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$20,$30,$60,1 day,2 days,3 days,3,5,7,4.9,"1,143",Algeria,May 2019,1 hour,3 weeks,"English, Arabic, French",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$20,$45,$75,1 day,1 day,1 day,-1,-1,-1,4.9,22,Italy,Apr 2016,1 day,2 months,"English, Italian",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$10,$30,$50,1 day,1 day,2 days,2,3,Unlimited,4.7,29,Pakistan,Sep 2023,1 hour,1 week,English,N/A,False
Video & Animation,logo-animation-services,new seller,5600,$15,$30,$50,1 day,1 day,2 days,-1,-1,-1,5.0,44,Pakistan,Jan 2024,1 hour,2 weeks,"Urdu, English",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$15,$25,$35,2 days,3 days,4 days,2,3,3,5.0,109,Indonesia,Jun 2022,1 hour,2 weeks,"Indonesian, English",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$20,$30,$50,2 days,3 days,4 days,1,2,3,4.9,95,Mexico,Dec 2020,N/A,4 days,"English, Spanish",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$10,$20,$30,2 days,3 days,4 days,Unlimited,Unlimited,Unlimited,4.9,138,Sri Lanka,Dec 2021,1 hour,5 days,English,N/A,False
Video & Animation,logo-animation-services,new seller,5600,$5,$10,$40,1 day,1 day,1 day,Unlimited,Unlimited,Unlimited,5.0,18,Pakistan,Mar 2024,1 hour,4 days,"English, French, Urdu, Spanish",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$30,$50,$100,1 day,2 days,2 days,3,5,Unlimited,5.0,14,Pakistan,Jan 2023,1 hour,1 day,"English, Turkish, Spanish, German",1 order in queue,False
Video & Animation,logo-animation-services,new seller,5600,$20,$40,$60,4 days,4 days,4 days,2,2,Unlimited,4.9,93,United Arab Emirates,Jun 2022,9 hours,1 month,"English, German, Spanish, French",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$10,$35,$50,3 days,3 days,3 days,3,5,9,4.9,316,Pakistan,Mar 2018,1 hour,3 weeks,"Urdu, Hindi, Punjabi, English",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$10,$15,$40,1 day,1 day,3 days,Unlimited,Unlimited,Unlimited,5.0,19,Pakistan,Dec 2023,1 hour,2 days,"Urdu, English",1 order in queue,False
Video & Animation,logo-animation-services,new seller,5600,$15,$45,$75,2 days,3 days,3 days,1,2,Unlimited,4.9,"3,961",Pakistan,Sep 2017,1 hour,1 day,English,4 orders in queue,False
Video & Animation,logo-animation-services,new seller,5600,$5,$10,$20,1 day,1 day,1 day,-1,-1,-1,5.0,47,India,Jan 2021,1 hour,1 day,"English, Hindi, Urdu",1 order in queue,False
Video & Animation,logo-animation-services,new seller,5600,$15,$30,$50,2 days,2 days,2 days,1,2,3,4.9,15,Pakistan,Aug 2023,1 hour,1 week,"English, German, Polish",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$10,$20,$30,1 day,2 days,2 days,Unlimited,Unlimited,Unlimited,4.9,416,Pakistan,Dec 2021,N/A,6 days,"Urdu, Hindi, English, Spanish",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$10,$15,$40,1 day,1 day,3 days,-1,-1,-1,4.6,18,Pakistan,Dec 2023,1 hour,2 days,"Urdu, English",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$5,$20,$40,1 day,1 day,1 day,-1,-1,-1,5.0,23,Kazakhstan,Dec 2022,N/A,4 months,"English, Kazakh, Russian",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$20,$40,$60,1 day,2 days,2 days,2,3,5,4.9,64,India,Apr 2023,2 hours,1 week,"Hindi, English, German, Spanish",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$250,$600,$900,3 days,3 days,3 days,1,2,3,4.8,90,Germany,Feb 2022,13 hours,1 day,"English, German, Persian",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$35,$70,$100,1 day,3 days,3 days,Unlimited,Unlimited,Unlimited,5.0,6,Ukraine,May 2021,12 hours,about 20 hours,"English, Ukrainian, Russian",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$10,$30,$50,1 day,1 day,3 days,3,3,3,4.9,45,Pakistan,Jul 2023,N/A,4 months,"English, Urdu, German",N/A,False
Video & Animation,logo-animation-services,new seller,5600,€38.68,€53.18,€67.68,3 days,3 days,4 days,1,2,3,5.0,36,Ukraine,May 2022,N/A,1 month,"English, Ukrainian, Russian",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$20,$30,$40,2 days,2 days,2 days,Unlimited,Unlimited,Unlimited,4.8,880,India,Dec 2017,1 hour,1 day,"English, Spanish, German",2 orders in queue,False
Video & Animation,logo-animation-services,new seller,5600,€29.01,€58.01,€96.69,2 days,2 days,2 days,5,7,Unlimited,5.0,34,Kazakhstan,Jan 2022,1 hour,3 months,"English, Ukrainian",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$45,$60,$80,4 days,3 days,2 days,1,2,3,5.0,122,Brazil,Sep 2020,N/A,3 months,"Portuguese, English",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$50,$70,$110,2 days,3 days,5 days,1,2,3,5.0,17,Ukraine,Jan 2023,1 hour,2 months,"English, Ukrainian",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$5,$35,$85,2 days,2 days,3 days,1,3,Unlimited,5.0,5,Switzerland,Apr 2024,1 hour,3 days,"English, Russian, Ukrainian, German",N/A,False
Video & Animation,logo-animation-services,new seller,5600,$500,$500,$500,7-day delivery,7-day delivery,7-day delivery,1 Revision,1 Revision,1 Revision,5.0,27,Israel,Oct 2017,1 day,2 days,English,N/A,True
