Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Video & Animation,logo-animation-services,top rated seller,140,$155,$255,$335,3 days,3 days,3 days,1,2,3,4.8,"2,360",Spain,Jan 2016,1 hour,3 days,"English, Spanish",7 orders in queue,False
Video & Animation,logo-animation-services,top rated seller,140,$65,$130,$195,3 days,3 days,4 days,2,2,3,5.0,"6,449",Barbados,Feb 2014,5 hours,about 16 hours,English,5 orders in queue,False
Video & Animation,logo-animation-services,top rated seller,140,$30,$50,$100,5 days,5 days,5 days,1,3,Unlimited,4.9,466,Egypt,Sep 2018,1 hour,about 7 hours,"English, Arabic",6 orders in queue,False
Video & Animation,logo-animation-services,top rated seller,140,$55,$80,$100,5 days,6 days,7 days,1,2,3,4.9,"1,516",Vietnam,Apr 2015,1 hour,about 6 hours,"English, Vietnamese",3 orders in queue,False
Video & Animation,logo-animation-services,top rated seller,140,$90,$160,$250,3 days,3 days,3 days,Unlimited,Unlimited,Unlimited,5.0,"1,283",Italy,Mar 2017,1 hour,1 day,"English, Italian, Russian",2 orders in queue,False
Video & Animation,logo-animation-services,top rated seller,140,$60,$170,$380,3 days,7 days,14 days,1,2,4,5.0,174,India,May 2019,1 hour,5 days,"Hindi, English",1 order in queue,False
Video & Animation,logo-animation-services,top rated seller,140,$60,$90,$130,2 days,2 days,1 day,Unlimited,Unlimited,Unlimited,4.9,184,Georgia,May 2019,1 hour,about 6 hours,"English, Georgian, Russian",N/A,False
Video & Animation,logo-animation-services,top rated seller,140,$80,$100,$120,7 days,7 days,7 days,2,2,3,5.0,"1,232",Ukraine,Jan 2016,2 hours,1 day,English,2 orders in queue,False
Video & Animation,logo-animation-services,top rated seller,140,$30,$50,$65,1 day,1 day,1 day,2,3,4,4.9,465,Pakistan,Feb 2017,1 hour,about 22 hours,"Urdu, English, Punjabi, Hindi",3 orders in queue,False
Video & Animation,logo-animation-services,top rated seller,140,$70,$85,$95,2 days,2 days,2 days,Unlimited,Unlimited,Unlimited,4.9,"2,063",Bangladesh,Sep 2015,1 hour,about 18 hours,"English, German, Spanish, French",12 orders in queue,False
Video & Animation,logo-animation-services,top rated seller,140,$80,$100,$120,7 days,7 days,7 days,2,2,3,5.0,"1,232",Ukraine,Jan 2016,2 hours,1 day,English,2 orders in queue,False
Video & Animation,logo-animation-services,top rated seller,140,$200,$350,$500,14 days,14 days,14 days,2,2,2,4.9,77,Armenia,Nov 2020,3 hours,2 days,"English, Armenian, Russian",1 order in queue,False
Video & Animation,logo-animation-services,top rated seller,140,$60,$80,$100,7 days,7 days,7 days,1,2,2,4.9,"1,554",Mexico,Apr 2020,2 hours,1 day,"English, Spanish",3 orders in queue,False
Video & Animation,logo-animation-services,top rated seller,140,$25,$50,$90,3 days,3 days,3 days,2,5,Unlimited,4.9,777,Pakistan,Jan 2015,1 hour,about 9 hours,"Urdu, Punjabi, Hindi, English",7 orders in queue,False
