Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Video & Animation,video-editing,level 1,7281,$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,9 Revisions,9 Revisions,9 Revisions,4.9,82,United Kingdom,Mar 2014,1 hour,1 week,English,N/A,True
Video & Animation,video-editing,level 1,7281,€4.84,€9.67,€19.34,1 day,1 day,2 days,Unlimited,Unlimited,Unlimited,4.9,109,Sri Lanka,Nov 2021,1 hour,about 6 hours,"Sinhala, English",N/A,False
Video & Animation,video-editing,level 1,7281,€9.67,€19.34,€29.01,2 days,4 days,5 days,1,1,2,4.8,158,Pakistan,Aug 2023,1 hour,about 14 hours,English,3 orders in queue,False
Video & Animation,video-editing,level 1,7281,$10,$45,$85,2 days,5 days,10 days,1,2,3,4.9,138,France,Jul 2021,14 hours,about 4 hours,"French, English",3 orders in queue,False
Video & Animation,video-editing,level 1,7281,$5,$5,$5,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,4.9,41,Morocco,Nov 2022,1 hour,1 week,"Arabic, English, French",N/A,True
Video & Animation,video-editing,level 1,7281,€4.84,€9.67,€19.34,2 days,3 days,5 days,Unlimited,Unlimited,Unlimited,5.0,44,Canada,Dec 2019,1 hour,about 16 hours,English,4 orders in queue,False
Video & Animation,video-editing,level 1,7281,$10,$20,$40,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,4.9,25,Pakistan,Jun 2023,1 hour,2 days,"Abkhazian, Chinese, Spanish, English",1 order in queue,False
Video & Animation,video-editing,level 1,7281,$10,$50,$100,2 days,2 days,2 days,1,2,5,4.9,18,India,Jan 2023,1 hour,3 days,"English, Japanese",1 order in queue,False
Video & Animation,video-editing,level 1,7281,$20,$80,$230,3 days,4 days,5 days,2,4,7,5.0,29,Bangladesh,Dec 2020,1 hour,1 day,"Bengali, English, Hindi",N/A,False
Video & Animation,video-editing,level 1,7281,$10,$40,$100,2 days,2 days,3 days,1,2,3,5.0,44,Pakistan,Nov 2023,3 hours,2 days,English,1 order in queue,False
Video & Animation,video-editing,level 1,7281,€24.18,€33.85,€43.52,3 days,4 days,5 days,3,4,5,5.0,22,Germany,Dec 2022,1 hour,1 day,"English, German",3 orders in queue,False
Video & Animation,video-editing,level 1,7281,$10,$30,$100,1 day,2 days,1 day,1,2,3,4.9,287,Romania,Sep 2017,2 hours,1 week,"English, Romanian",N/A,False
Video & Animation,video-editing,level 1,7281,€9.67,€14.51,€29.01,2 days,3 days,4 days,3,3,3,4.9,532,Sri Lanka,May 2021,2 hours,about 5 hours,"Sinhala, English",N/A,False
Video & Animation,video-editing,level 1,7281,$15,$40,$50,2 days,3 days,4 days,5,5,5,5.0,195,United States,Jun 2021,11 hours,4 days,English,11 orders in queue,False
Video & Animation,video-editing,level 1,7281,$35,$55,$85,2 days,2 days,2 days,Unlimited,Unlimited,Unlimited,4.9,40,Austria,Nov 2020,1 hour,2 days,"English, German, Italian, Spanish",1 order in queue,False
