Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Video & Animation,video-editing,new seller,50472,$500,"$5,000","$8,000",3 days,4 days,5 days,0,1,2,5.0,1,United States,Jun 2021,1 hour,7 months,English,N/A,False
Video & Animation,video-editing,new seller,50472,$10,$25,$45,2 days,3 days,4 days,Unlimited,Unlimited,Unlimited,4.8,69,Pakistan,Apr 2023,1 hour,1 week,English,N/A,False
Video & Animation,video-editing,new seller,50472,$5,$15,$25,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,4.7,30,India,Oct 2022,1 hour,2 days,"Hindi, Urdu, English",6 orders in queue,False
Video & Animation,video-editing,new seller,50472,$15,$30,$60,3 days,3 days,5 days,Unlimited,Unlimited,Unlimited,4.9,289,Sri Lanka,Aug 2020,1 hour,5 days,English,3 orders in queue,False
Video & Animation,video-editing,new seller,50472,"$2,000","$4,000","$8,000",5 days,4 days,3 days,1,2,3,5.0,13,United States,Jun 2021,1 hour,7 months,English,N/A,False
Video & Animation,video-editing,new seller,50472,$30,$80,$150,2 days,5 days,7 days,3,6,8,5.0,2,Bangladesh,Jul 2021,1 hour,2 months,"Bengali, English, Hindi",N/A,False
Video & Animation,video-editing,new seller,50472,$10,$25,$40,2 days,2 days,3 days,3,2,2,4.7,58,Pakistan,Dec 2023,1 hour,1 day,"English, French, Danish",1 order in queue,False
Video & Animation,video-editing,new seller,50472,$10,$20,$40,2 days,4 days,6 days,1,2,3,4.9,72,Argentina,Mar 2023,8 hours,about 15 hours,"English, Spanish",1 order in queue,False
Video & Animation,video-editing,new seller,50472,$15,$45,$90,2 days,3 days,4 days,Unlimited,Unlimited,Unlimited,4.9,195,Pakistan,Jan 2023,1 hour,about 23 hours,"Urdu, English, Hindi",1 order in queue,False
Video & Animation,video-editing,new seller,50472,£4.12,£12.36,£16.48,1 day,2 days,2 days,5,7,9,4.6,31,Pakistan,Aug 2022,1 hour,about 5 hours,"English, French",N/A,False
