Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Video & Animation,video-editing,top rated seller,313,"$1,350","$1,950","$2,850",5 days,7 days,10 days,Unlimited,Unlimited,Unlimited,5.0,7,Germany,May 2018,6 hours,1 day,"English, German, Spanish",N/A,False
Video & Animation,video-editing,top rated seller,313,€29.01,€72.54,€145.07,3 days,3 days,4 days,2,5,Unlimited,4.9,917,United Arab Emirates,May 2020,1 hour,about 6 hours,"English, Hindi",17 orders in queue,False
Video & Animation,video-editing,top rated seller,313,$50,$75,$90,7 days,7 days,10 days,Unlimited,Unlimited,Unlimited,4.9,"1,158",India,Dec 2016,1 hour,about 3 hours,English,15 orders in queue,False
Video & Animation,video-editing,top rated seller,313,€48.36,€72.54,€96.72,6 days,7 days,7 days,Unlimited,Unlimited,Unlimited,4.9,"1,693",India,Dec 2016,1 hour,about 3 hours,English,52 orders in queue,False
Video & Animation,video-editing,top rated seller,313,$350,$600,"$1,000",7 days,10 days,21 days,0,1,2,5.0,791,India,Aug 2017,1 hour,about 22 hours,English,2 orders in queue,False
Video & Animation,video-editing,top rated seller,313,€406.20,€628.65,"€1,113",6 days,10 days,21 days,2,3,3,5.0,102,Venezuela,Oct 2017,2 hours,1 day,"English, Spanish, French",2 orders in queue,False
Video & Animation,video-editing,top rated seller,313,$100,$300,$600,5 days,5 days,7 days,3,9,Unlimited,4.9,606,United States,Dec 2016,1 hour,about 5 hours,"English, Portuguese, Spanish",12 orders in queue,False
Video & Animation,video-editing,top rated seller,313,$100,$400,$700,2 days,7 days,14 days,Unlimited,Unlimited,Unlimited,4.9,66,India,Sep 2017,1 hour,about 3 hours,"Hindi, English",3 orders in queue,False
Video & Animation,video-editing,top rated seller,313,$60,$95,$150,2 days,4 days,4 days,2,2,2,5.0,"2,189",United States,Sep 2019,2 hours,about 3 hours,"English, German",30 orders in queue,False
Video & Animation,video-editing,top rated seller,313,$80,$250,$400,3 days,4 days,5 days,2,3,4,5.0,499,Serbia,Oct 2017,8 hours,1 day,English,4 orders in queue,False
