Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Video & Animation,visual-effects,new seller,2248,$350,"$2,500","$10,000",5 days,10 days,14 days,0,1,2,5.0,3,United States,Jun 2021,1 hour,7 months,English,N/A,False
Video & Animation,visual-effects,new seller,2248,$100,$400,$650,1 day,2 days,2 days,Unlimited,Unlimited,Unlimited,5.0,8,Netherlands,Oct 2022,N/A,8 months,"English, Dutch, French, German",N/A,False
Video & Animation,visual-effects,new seller,2248,$120,$200,$500,3 days,5 days,7 days,2,5,9,4.9,50,India,Jan 2017,N/A,9 months,English,N/A,False
Video & Animation,visual-effects,new seller,2248,$5,$10,$15,1 day,1 day,1 day,Unlimited,Unlimited,Unlimited,4.8,3,Sri Lanka,Feb 2024,1 hour,2 days,"Tamil, English, French, German",N/A,False
Video & Animation,visual-effects,new seller,2248,$150,$250,$300,2 days,3 days,3 days,1,2,2,5.0,8,Serbia,Aug 2013,1 hour,3 months,English,N/A,False
Video & Animation,visual-effects,new seller,2248,$35,$95,$195,2 days,3 days,5 days,-1,-1,-1,4.8,4,Pakistan,Dec 2017,1 hour,1 month,"Urdu, English",N/A,False
Video & Animation,visual-effects,new seller,2248,$50,$80,$120,2 days,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,3,India,Jun 2020,1 hour,1 day,"Tamil, English, Hindi",N/A,False
Video & Animation,visual-effects,new seller,2248,$30,$50,$90,4 days,6 days,10 days,1,1,1,5.0,3,United Kingdom,Dec 2018,4 hours,8 months,English,N/A,False
Video & Animation,visual-effects,new seller,2248,$5,$10,$15,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,4.6,18,Pakistan,May 2021,1 hour,2 weeks,English,N/A,False
Video & Animation,visual-effects,new seller,2248,$5,$10,$15,1 day,2 days,2 days,5,5,5,4.9,10,Pakistan,Aug 2022,1 hour,about 5 hours,"English, French",1 order in queue,False
Video & Animation,visual-effects,new seller,2248,$15,$30,$40,3 days,3 days,4 days,1,1,1,4.9,19,Turkey,Nov 2016,1 hour,3 days,English,1 order in queue,False
Video & Animation,visual-effects,new seller,2248,£123.57,£205.95,£247.14,2 days,3 days,3 days,1,2,2,5.0,8,Serbia,Aug 2013,1 hour,3 months,English,N/A,False
Video & Animation,visual-effects,new seller,2248,$10,$40,$90,1 day,1 day,2 days,Unlimited,Unlimited,Unlimited,4.9,22,Morocco,Jul 2022,1 hour,1 month,"English, French",N/A,False
Video & Animation,visual-effects,new seller,2248,$10,$10,$10,4-day delivery,4-day delivery,4-day delivery,-1,-1,-1,5.0,2,Portugal,Apr 2024,1 hour,5 days,"English, Portuguese",N/A,True
Video & Animation,visual-effects,new seller,2248,$150,$250,$350,2 days,3 days,5 days,1,2,2,5.0,7,Serbia,Aug 2013,1 hour,3 months,English,N/A,False
Video & Animation,visual-effects,new seller,2248,€483.58,€483.58,€483.58,7-day delivery,7-day delivery,7-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,5,India,Sept 2020,1 hour,9 months,"Hindi, Bengali, English",N/A,True
Video & Animation,visual-effects,new seller,2248,$350,"$1,520","$3,020",2 days,5 days,10 days,0,2,5,N/A,N/A,India,Aug 2023,1 hour,3 months,"English, Hindi",N/A,False
Video & Animation,visual-effects,new seller,2248,$540,$540,$540,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,N/A,N/A,Brazil,Mar 2020,1 hour,3 weeks,"English, Portuguese, Spanish",N/A,True
Video & Animation,visual-effects,new seller,2248,$200,$200,$200,21-day delivery,21-day delivery,21-day delivery,-1,-1,-1,5.0,3,Nigeria,Jul 2023,1 hour,3 weeks,"English, French, German",N/A,True
Video & Animation,visual-effects,new seller,2248,€154.74,€154.74,€154.74,7-day delivery,7-day delivery,7-day delivery,3 Revisions,3 Revisions,3 Revisions,4.8,5,Croatia,Mar 2020,1 hour,1 month,"English, Croatian, Italian",N/A,True
Video & Animation,visual-effects,new seller,2248,€96.72,€241.79,€386.86,5 days,10 days,14 days,0,0,0,5.0,5,Spain,Mar 2020,4 days,4 months,"English, Spanish",1 order in queue,False
