Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Video & Animation,visual-effects,top rated seller,92,$150,$250,$450,2 days,3 days,5 days,2,2,2,4.9,118,Ukraine,Jun 2016,1 hour,4 days,"English, Ukrainian, Hebrew",N/A,False
Video & Animation,visual-effects,top rated seller,92,$30,$50,$100,2 days,2 days,3 days,-1,-1,-1,5.0,777,India,Oct 2020,1 hour,2 days,"English, Hindi, Marathi, Gujarati",1 order in queue,False
Video & Animation,visual-effects,top rated seller,92,$35,$150,$200,2 days,5 days,8 days,1,1,2,5.0,283,Bangladesh,Apr 2016,1 hour,about 8 hours,English,2 orders in queue,False
Video & Animation,visual-effects,top rated seller,92,$30,$70,$180,3 days,4 days,7 days,1,2,3,5.0,102,Spain,Oct 2020,1 hour,2 days,English,3 orders in queue,False
Video & Animation,visual-effects,top rated seller,92,$30,$200,$400,2 days,2 days,5 days,1,2,2,5.0,537,Bangladesh,Apr 2019,1 hour,2 days,English,N/A,False
Video & Animation,visual-effects,top rated seller,92,$100,$200,$400,2 days,4 days,14 days,5,5,5,4.9,46,India,Jan 2018,1 hour,3 days,"English, German, Spanish, French",N/A,False
Video & Animation,visual-effects,top rated seller,92,US$120,US$450,US$995,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,62,Ukraine,Dec 2019,2 hours,3 days,"English, Ukrainian",1 order in queue,False
Video & Animation,visual-effects,top rated seller,92,$35,$150,$400,3 days,5 days,7 days,1,2,2,5.0,483,Bangladesh,Apr 2016,1 hour,about 8 hours,English,3 orders in queue,False
Video & Animation,visual-effects,top rated seller,92,$35,$150,$400,3 days,5 days,7 days,1,2,2,5.0,483,Bangladesh,Apr 2016,1 hour,about 8 hours,English,3 orders in queue,False
Video & Animation,visual-effects,top rated seller,92,$35,$150,$300,3 days,5 days,7 days,1,2,3,4.9,494,Bangladesh,Mar 2017,2 hours,about 5 hours,English,3 orders in queue,False
Video & Animation,visual-effects,top rated seller,92,$30,$100,$200,5 days,7 days,10 days,2,4,Unlimited,4.9,231,Bangladesh,Jun 2016,1 hour,3 days,English,N/A,False
Video & Animation,visual-effects,top rated seller,92,$250,$500,"$1,000",2 days,3 days,4 days,2,3,3,5.0,39,Poland,Sep 2017,6 hours,about 14 hours,"English, Ukrainian, Polish",N/A,False
Video & Animation,visual-effects,top rated seller,92,$30,$200,$400,3 days,5 days,7 days,1,2,2,4.9,90,Bangladesh,Apr 2019,1 hour,2 days,English,N/A,False
Video & Animation,visual-effects,top rated seller,92,$250,$500,"$1,000",7 days,10 days,14 days,-1,-1,-1,4.9,83,United States,Dec 2019,1 hour,2 weeks,"English, Hungarian",1 order in queue,False
Video & Animation,visual-effects,top rated seller,92,$20,$35,$55,2 days,3 days,4 days,1,1,1,5.0,418,Turkey,Jun 2021,1 hour,about 8 hours,English,6 orders in queue,False
Video & Animation,visual-effects,top rated seller,92,$45,$90,$150,2 days,2 days,7 days,1,2,Unlimited,5.0,260,Uruguay,Aug 2019,3 hours,3 days,"English, Spanish, French",1 order in queue,False
Video & Animation,visual-effects,top rated seller,92,$30,$200,$400,2 days,2 days,5 days,1,2,2,5.0,537,Bangladesh,Apr 2019,1 hour,2 days,English,N/A,False
Video & Animation,visual-effects,top rated seller,92,$100,$300,$600,3 days,6 days,10 days,2,2,2,4.9,131,Kazakhstan,Feb 2020,3 hours,1 week,English,N/A,False
Video & Animation,visual-effects,top rated seller,92,$40,$80,$140,2 days,3 days,4 days,Unlimited,Unlimited,Unlimited,5.0,125,India,Mar 2017,1 hour,1 week,"English, Hindi",N/A,False
Video & Animation,visual-effects,top rated seller,92,$30,$70,$180,3 days,4 days,7 days,1,2,3,5.0,102,Spain,Oct 2020,1 hour,2 days,English,3 orders in queue,False
Video & Animation,visual-effects,top rated seller,92,$30,$100,$400,2 days,5 days,7 days,1,1,1,5.0,110,Bangladesh,Jan 2017,1 hour,2 days,English,N/A,False
Video & Animation,visual-effects,top rated seller,92,$50,$175,$650,2 days,4 days,10 days,1,2,3,5.0,403,India,Sep 2017,1 hour,2 days,"Bengali, English, Hindi",N/A,False
Video & Animation,visual-effects,top rated seller,92,"$1,000","$1,000","$1,000",3-day delivery,3-day delivery,3-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,1,Sri Lanka,Sep 2016,1 hour,1 month,English,N/A,True
