Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$100,$140,$250,5 days,5 days,5 days,2,2,2,4.8,14,United Kingdom,Jun 2020,8 hours,2 years,English,N/A,False
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$200,$350,$450,2 days,3 days,4 days,2,2,2,5.0,11,United States,Jan 2019,1 hour,3 weeks,English,N/A,False
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$105,$160,$260,5 days,6 days,7 days,-1,-1,-1,5.0,101,United States,Jul 2020,5 hours,1 week,English,N/A,False
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$160,$235,$330,7 days,10 days,10 days,2,2,2,5.0,25,United States,May 2020,17 hours,1 week,English,N/A,False
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$125,$250,$375,5 days,6 days,7 days,1,2,2,5.0,97,United States,Jul 2020,2 days,3 days,English,1 order in queue,False
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$5,$10,$30,1 day,2 days,5 days,-1,-1,-1,4.9,25,Pakistan,Feb 2023,1 hour,1 day,English,5 orders in queue,False
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$5,$70,$120,1 day,2 days,3 days,-1,-1,-1,5.0,10,Kenya,Jan 2023,1 hour,2 weeks,English,N/A,False
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$35,$70,$100,7 days,7 days,7 days,1,2,2,5.0,301,Pakistan,Mar 2017,1 hour,1 week,English,2 orders in queue,False
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$100,$155,$220,2 days,4 days,5 days,1,1,1,N/A,N/A,Mexico,Feb 2021,22 hours,7 months,"English, French, Spanish, Italian",N/A,False
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$10,$15,$25,1 day,2 days,3 days,1,1,Unlimited,5.0,42,Pakistan,Sep 2021,1 hour,2 days,"English, Urdu",1 order in queue,False
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$5,$15,$30,1 day,2 days,3 days,-1,-1,-1,5.0,18,Pakistan,Mar 2024,1 hour,about 9 hours,"English, German",N/A,False
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$25,$25,$25,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,4.7,22,Canada,Jan 2024,1 hour,1 day,English,N/A,True
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$35,$50,$75,2 days,2 days,3 days,-1,-1,-1,5.0,1,Israel,Apr 2020,3 hours,2 months,"English, Hebrew",N/A,False
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$30,$45,$55,2 days,2 days,2 days,2,3,3,5.0,2,Pakistan,May 2018,5 hours,3 days,"Urdu, English, Chinese",N/A,False
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$5,$10,$25,1 day,1 day,1 day,-1,-1,-1,4.9,36,Pakistan,Oct 2023,1 hour,6 days,"English, Urdu, Hindi",N/A,False
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$10,$50,$130,1 day,2 days,3 days,-1,-1,-1,5.0,13,Kenya,Dec 2023,1 hour,1 week,"English, Swahili",1 order in queue,False
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$10,$20,$30,10 days,14 days,21 days,0,0,0,5.0,16,Ireland,Feb 2022,10 hours,5 days,English,1 order in queue,False
Writing & Translation,articles-blogposts,new seller,"33,000+ Results",$5,$10,$20,1 day,1 day,2 days,-1,-1,-1,4.9,41,Pakistan,Jul 2021,1 hour,2 weeks,English,1 order in queue,False
