Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Writing & Translation,book-editing,level 1,641 Results,$35,$55,$100,5 days,10 days,21 days,1,1,2,5.0,11,United States,Dec 2021,1 hour,3 weeks,"English, French",N/A,False
Writing & Translation,book-editing,level 1,641 Results,$10,$150,$185,2 days,4 days,7 days,0,0,0,4.7,5,United States,Nov 2023,1 hour,3 days,"English, German, Spanish, French",N/A,False
Writing & Translation,book-editing,level 1,641 Results,$30,$90,$120,2 days,4 days,6 days,Unlimited,Unlimited,Unlimited,4.9,4,Nigeria,Sep 2022,1 hour,6 days,English,N/A,False
Writing & Translation,book-editing,level 1,641 Results,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,5.0,143,United States,Oct 2014,9 hours,3 days,English,N/A,True
Writing & Translation,book-editing,level 1,641 Results,$70,$120,$230,4 days,6 days,10 days,1,1,1,5.0,196,United States,Dec 2020,15 hours,1 week,English,1 order in queue,False
Writing & Translation,book-editing,level 1,641 Results,$5,$10,$15,1 day,2 days,4 days,Unlimited,Unlimited,Unlimited,4.8,123,United States,Dec 2022,1 hour,1 day,English,2 orders in queue,False
Writing & Translation,book-editing,level 1,641 Results,$15,$100,$195,2 days,5 days,7 days,0,1,1,4.8,35,United States,Aug 2023,1 hour,2 days,"English, Italian, Spanish, German",N/A,False
Writing & Translation,book-editing,level 1,641 Results,$30,$200,$450,4 days,7 days,10 days,Unlimited,Unlimited,Unlimited,4.9,15,Nigeria,Oct 2023,1 hour,3 days,English,1 order in queue,False
Writing & Translation,book-editing,level 1,641 Results,$750,"$1,250","$1,750",14 days,30 days,45 days,0,0,0,5.0,6,United Kingdom,Oct 2018,9 hours,2 weeks,English,N/A,False
Writing & Translation,book-editing,level 1,641 Results,$375,$475,$575,10 days,14 days,21 days,Unlimited,Unlimited,Unlimited,5.0,38,Barbados,Feb 2015,1 hour,about 14 hours,English,3 orders in queue,False
Writing & Translation,book-editing,level 1,641 Results,$5,$45,$95,2 days,4 days,7 days,2,3,Unlimited,4.9,11,Pakistan,Dec 2023,1 hour,1 day,"English, French, German, Spanish",6 orders in queue,False
Writing & Translation,book-editing,level 1,641 Results,$5,$10,$15,2 days,3 days,3 days,0,Unlimited,Unlimited,4.9,180,United States,May 2020,1 hour,5 days,"English, Spanish",2 orders in queue,False
Writing & Translation,book-editing,level 1,641 Results,$20,$80,$150,2 days,4 days,6 days,3,3,3,4.9,4,Pakistan,Mar 2021,1 hour,3 days,"English, French, Italian, Spanish",N/A,False
Writing & Translation,book-editing,level 1,641 Results,$10,$25,$50,1 day,2 days,3 days,3,4,5,4.8,14,Zimbabwe,Dec 2015,1 hour,5 days,English,N/A,False
Writing & Translation,book-editing,level 1,641 Results,$50,$150,$200,3 days,7 days,14 days,0,1,2,5.0,5,Pakistan,Jan 2023,N/A,5 days,English,N/A,False
Writing & Translation,book-editing,level 1,641 Results,$30,$50,$100,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,3,United Kingdom,Nov 2023,1 hour,1 week,English,N/A,False
Writing & Translation,book-editing,level 1,641 Results,€9.67,€72.54,€217.61,3 days,10 days,21 days,Unlimited,Unlimited,Unlimited,5.0,14,Nigeria,Aug 2023,1 hour,4 days,"English, French, German, Portuguese",N/A,False
Writing & Translation,book-editing,level 1,641 Results,$10,$50,$100,1 day,2 days,4 days,-1,-1,-1,4.9,138,Nigeria,Aug 2021,1 hour,3 weeks,English,1 order in queue,False
Writing & Translation,book-editing,level 1,641 Results,$20,$80,$165,2 days,5 days,10 days,Unlimited,Unlimited,Unlimited,4.8,20,United States,Sep 2023,1 hour,about 5 hours,"English, German",2 orders in queue,False
Writing & Translation,book-editing,level 1,641 Results,$15,$75,$85,2 days,4 days,5 days,0,1,1,5.0,41,United Kingdom,May 2023,4 hours,2 days,English,N/A,False
Writing & Translation,book-editing,level 1,641 Results,$10,$10,$10,2-day delivery,2-day delivery,2-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,867,Barbados,Feb 2015,1 hour,about 14 hours,English,4 orders in queue,True
Writing & Translation,book-editing,level 1,641 Results,$10,$75,$120,3 days,5 days,7 days,-1,-1,-1,4.9,18,United Kingdom,Dec 2023,1 hour,3 days,"English, Spanish, German, French",3 orders in queue,False
Writing & Translation,book-editing,level 1,641 Results,$10,$80,$150,2 days,5 days,7 days,-1,-1,-1,4.8,18,United States,Dec 2023,1 hour,1 week,"English, German, Spanish",1 order in queue,False
Writing & Translation,book-editing,level 1,641 Results,$5,$10,$15,10 days,10 days,21 days,1,1,1,5.0,10,Germany,Mar 2023,1 hour,2 weeks,"English, German",N/A,False
Writing & Translation,book-editing,level 1,641 Results,$30,$50,$80,1 day,2 days,4 days,3,3,3,5.0,3,Bangladesh,Nov 2020,1 hour,5 days,"English, German, Russian, French",N/A,False
Writing & Translation,book-editing,level 1,641 Results,€4.84,€24.18,€48.36,1 day,3 days,5 days,Unlimited,Unlimited,Unlimited,4.9,35,Nigeria,Dec 2021,2 hours,about 49 minutes,English,N/A,False
Writing & Translation,book-editing,level 1,641 Results,€48.36,€241.79,€440.05,3 days,10 days,21 days,-1,-1,-1,5.0,15,United States,Nov 2020,12 hours,1 day,English,N/A,False
Writing & Translation,book-editing,level 1,641 Results,$5,$45,$95,2 days,4 days,7 days,2,3,Unlimited,4.9,11,Pakistan,Dec 2023,1 hour,1 day,"English, French, German, Spanish",6 orders in queue,False
Writing & Translation,book-editing,level 1,641 Results,$5,$50,$500,1 day,5 days,14 days,Unlimited,Unlimited,Unlimited,5.0,14,Nigeria,Feb 2022,1 hour,1 week,English,N/A,False
Writing & Translation,book-editing,level 1,641 Results,US$5,US$20,US$40,1 day,3 days,5 days,1,3,Unlimited,5.0,10,Ghana,Feb 2023,1 hour,4 days,English,N/A,False
Writing & Translation,book-editing,level 1,641 Results,$30,$50,$80,1 day,2 days,3 days,1,1,2,5.0,10,Pakistan,Apr 2023,2 hours,2 weeks,"English, French, Persian, Spanish",1 order in queue,False
Writing & Translation,book-editing,level 1,641 Results,$40,$120,$350,3 days,6 days,10 days,Unlimited,Unlimited,Unlimited,4.8,22,Nigeria,Jul 2023,1 hour,4 days,"English, Spanish, German",1 order in queue,False
Writing & Translation,book-editing,level 1,641 Results,$70,$150,$700,3 days,7 days,14 days,0,0,0,5.0,11,United Kingdom,Jan 2024,6 hours,2 days,"English, Italian",1 order in queue,False
Writing & Translation,book-editing,level 1,641 Results,$25,$40,$55,3 days,3 days,4 days,0,0,0,5.0,24,United States,Jan 2019,4 hours,1 month,English,N/A,False
Writing & Translation,book-editing,level 1,641 Results,$50,$125,$250,7 days,14 days,21 days,1,2,Unlimited,4.9,17,Venezuela,Jul 2021,1 hour,1 day,"English, Spanish",N/A,False
Writing & Translation,book-editing,level 1,641 Results,$45,$85,$125,6 days,10 days,14 days,0,0,1,4.9,12,United Kingdom,Jan 2024,2 hours,5 days,"English, French",N/A,False
Writing & Translation,book-editing,level 1,641 Results,$15,$50,$120,3 days,6 days,10 days,Unlimited,Unlimited,Unlimited,4.7,3,United States,Sep 2023,1 hour,about 5 hours,"English, German",N/A,False
Writing & Translation,book-editing,level 1,641 Results,$65,$85,$155,14 days,21 days,30 days,2,2,2,4.9,40,United States,Jan 2021,1 hour,2 weeks,English,N/A,False
Writing & Translation,book-editing,level 1,641 Results,$5,$25,$100,1 day,3 days,5 days,Unlimited,Unlimited,Unlimited,4.8,4,Nigeria,Oct 2022,1 hour,3 weeks,English,N/A,False
Writing & Translation,book-editing,level 1,641 Results,$150,$200,$250,5 days,5 days,5 days,2,2,2,4.9,"2,778",Canada,N/A,2 hours,4 days,"English, French",N/A,False
Writing & Translation,book-editing,level 1,641 Results,$40,$120,$300,2 days,4 days,7 days,3,3,3,5.0,20,United States,Nov 2023,1 hour,1 week,"English, German",1 order in queue,False
Writing & Translation,book-editing,level 1,641 Results,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,4.8,130,Nigeria,Nov 2020,1 hour,about 7 hours,English,2 orders in queue,True
Writing & Translation,book-editing,level 1,641 Results,US$30,US$50,US$80,3 days,5 days,10 days,1,1,1,4.9,23,India,Sept 2021,1 hour,1 week,"Bengali, English, Hindi, Korean",1 order in queue,False
Writing & Translation,book-editing,level 1,641 Results,$15,$50,$100,2 days,4 days,7 days,2,2,2,4.8,14,Pakistan,Sep 2023,1 hour,2 days,English,2 orders in queue,False
Writing & Translation,book-editing,level 1,641 Results,$40,$80,$180,1 day,5 days,7 days,Unlimited,Unlimited,Unlimited,4.9,11,Pakistan,Mar 2024,1 hour,1 day,"English, German, French, Korean",6 orders in queue,False
Writing & Translation,book-editing,level 1,641 Results,$100,$200,$400,5 days,10 days,21 days,Unlimited,Unlimited,Unlimited,5.0,7,Canada,Apr 2022,1 hour,3 weeks,English,2 orders in queue,False
Writing & Translation,book-editing,level 1,641 Results,$15,$80,$120,2 days,4 days,7 days,-1,-1,-1,4.4,3,United Kingdom,Aug 2023,1 hour,1 week,"English, German",N/A,False
Writing & Translation,book-editing,level 1,641 Results,€29.01,€193.43,€435.22,4 days,7 days,10 days,Unlimited,Unlimited,Unlimited,4.9,15,Nigeria,Oct 2023,1 hour,3 days,English,1 order in queue,False
