Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Writing & Translation,book-editing,new seller,"6,000+ Results",$75,$100,$125,21 days,21 days,30 days,1,1,1,5.0,7,Canada,Jul 2021,7 hours,2 days,English,N/A,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$5,$10,$20,1 day,2 days,4 days,2,3,4,4.7,26,India,Nov 2023,1 hour,2 days,"English, Hindi",2 orders in queue,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$5,$10,$15,2 days,2 days,3 days,2,2,Unlimited,4.6,23,United States,Aug 2023,N/A,4 months,English,N/A,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$15,$95,$180,3 days,7 days,10 days,-1,-1,-1,4.8,12,United States,Jan 2024,1 hour,5 days,English,N/A,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$125,$250,$450,5 days,7 days,10 days,0,0,1,4.9,9,United States,Jan 2018,N/A,1 week,"English, French",N/A,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$10,$70,$150,2 days,5 days,7 days,-1,-1,-1,5.0,14,United States,Sep 2023,1 hour,6 days,"English, Spanish, French, German",1 order in queue,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$10,$55,$100,2 days,4 days,7 days,-1,-1,-1,4.7,13,United States,Dec 2023,1 hour,2 days,N/A,N/A,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$10,$75,$150,2 days,5 days,7 days,-1,-1,-1,5.0,16,United States,Apr 2024,1 hour,1 day,English,N/A,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$100,$250,$350,45 days,30 days,30 days,0,1,1,5.0,70,United States,Dec 2021,19 hours,1 month,"English, Spanish",2 orders in queue,False
Writing & Translation,book-editing,new seller,"6,000+ Results",€48.36,€96.72,€193.43,3 days,5 days,7 days,-1,-1,-1,4.9,11,United States,Nov 2023,1 hour,2 days,"English, French",3 orders in queue,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$10,$50,$90,2 days,5 days,7 days,Unlimited,Unlimited,Unlimited,5.0,11,United States,Nov 2023,1 hour,4 days,"English, German",N/A,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$5,$375,$700,3 days,14 days,21 days,0,0,0,4.9,342,United States,Jul 2019,3 hours,1 week,English,3 orders in queue,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$5,$10,$15,2 days,2 days,3 days,2,2,Unlimited,4.9,16,United States,Jun 2023,N/A,3 weeks,English,N/A,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$20,$150,$290,5 days,14 days,21 days,Unlimited,Unlimited,Unlimited,5.0,5,Nigeria,Jun 2022,1 hour,1 day,English,N/A,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$25,$40,$60,2 days,3 days,5 days,2,2,2,5.0,14,United States,Dec 2019,N/A,7 months,English,1 order in queue,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$10,$50,$100,2 days,5 days,10 days,2,2,Unlimited,5.0,6,United States,Aug 2023,1 hour,1 week,"English, Italian",1 order in queue,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$5,$10,$15,2 days,3 days,4 days,2,2,Unlimited,4.8,124,United States,Feb 2021,N/A,1 week,English,N/A,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$15,$35,$65,2 days,4 days,7 days,Unlimited,Unlimited,Unlimited,4.8,4,United States,Dec 2023,1 hour,1 week,English,N/A,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$20,$100,$200,3 days,7 days,10 days,-1,-1,-1,4.6,6,United Kingdom,Feb 2024,1 hour,1 day,"English, Scottish Gaelic",2 orders in queue,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$5,$25,$50,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,4.9,222,Nigeria,Mar 2021,N/A,3 days,English,N/A,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$50,$100,$300,3 days,5 days,7 days,-1,-1,-1,5.0,3,Netherlands,Mar 2024,1 hour,1 week,"English, Spanish, German, French",N/A,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$50,$250,$500,3 days,7 days,10 days,-1,-1,-1,5.0,3,Netherlands,Mar 2024,1 hour,5 days,"English, German, Dutch",1 order in queue,False
Writing & Translation,book-editing,new seller,"6,000+ Results",$5,$15,$30,2 days,3 days,5 days,1,1,1,5.0,1,United States,Nov 2023,6 hours,2 weeks,English,1 order in queue,False
