Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Writing & Translation,proofreading-editing,level 2,2200,$15,$15,$15,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,4.9,11,Germany,N/A,N/A,N/A,"I speak English, Finnish, German",N/A,True
Writing & Translation,proofreading-editing,level 2,2200,$125,$175,$250,7 days,10 days,14 days,2,2,2,4.9,27,United States,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$5,$5,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,4.9,"2,778",United States,N/A,N/A,N/A,"I speak English, German",N/A,True
Writing & Translation,proofreading-editing,level 2,2200,$10,$30,$50,1 day,2 days,3 days,-1,-1,-1,4.9,77,France,N/A,N/A,N/A,"I speak English, French",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$15Save up to 10% with Subscribe to Save,$15Save up to 10% with Subscribe to Save,$15Save up to 10% with Subscribe to Save,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,4.8,22,Argentina,N/A,N/A,N/A,"I speak English, Spanish, German",N/A,True
Writing & Translation,proofreading-editing,level 2,2200,$5,$25,$60,2 days,2 days,2 days,1,1,1,4.9,28,Zambia,N/A,N/A,N/A,"I speak English, Norwegian, Swedish, Danish",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$20,$140,1 day,3 days,5 days,1,1,2,5.0,265,Spain,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$10,$15,1 day,1 day,1 day,Unlimited,Unlimited,Unlimited,5.0,83,Egypt,N/A,N/A,N/A,"I speak English, Arabic",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$15,$30,1 day,1 day,2 days,1,1,2,5.0,330,Germany,N/A,N/A,N/A,"I speak English, German, Italian",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,€9.78,€156.43,€244.42,1 day,3 days,6 days,0,0,1,4.9,194,Malta,N/A,N/A,N/A,"I speak English, Maltese, Italian, French",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$10,$15,6 days,3 days,1 day,0,0,0,5.0,"6,420",United States,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$15,$30,1 day,1 day,2 days,Unlimited,Unlimited,Unlimited,4.9,174,Egypt,N/A,N/A,N/A,"I speak English, Arabic",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$10,$20,3 days,3 days,3 days,Unlimited,Unlimited,Unlimited,5.0,166,Germany,N/A,N/A,N/A,"I speak English, German, French, Spanish",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$20,$140,1 day,3 days,5 days,1,1,2,5.0,265,Spain,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$10,$15,$20,4 days,5 days,6 days,-1,-1,-1,5.0,"1,081",United States,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$10,$15,$20,2 days,3 days,3 days,-1,-1,-1,5.0,"4,342",United States,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,level 2,2200,€97.77,€146.65,€488.83,2 days,3 days,7 days,0,1,1,4.7,104,United States,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$10,$60,$110,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,4.9,66,Kenya,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$10,$30,$50,1 day,2 days,3 days,-1,-1,-1,4.9,77,France,N/A,N/A,N/A,"I speak English, French",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$100,$125,$150,5 days,5 days,5 days,2,2,2,5.0,3,United States,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$15,$25,3 days,3 days,3 days,-1,-1,-1,N/A,N/A,Germany,N/A,N/A,N/A,"I speak English, German",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$10,$30,$75,2 days,2 days,3 days,1,1,2,5.0,61,United States,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$15,$40,1 day,1 day,1 day,1,1,1,4.9,325,Germany,N/A,N/A,N/A,"I speak English, German, Latin",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$15,$80,$280,1 day,5 days,10 days,1,1,2,5.0,102,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,108,Poland,N/A,N/A,N/A,"I speak English, Polish, Portuguese",N/A,True
Writing & Translation,proofreading-editing,level 2,2200,$5,$10,$15,1 day,1 day,1 day,Unlimited,Unlimited,Unlimited,5.0,83,Egypt,N/A,N/A,N/A,"I speak English, Arabic",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$30,$65,1 day,2 days,3 days,0,0,0,5.0,120,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$10,$15,$20,3 days,3 days,3 days,Unlimited,Unlimited,Unlimited,5.0,155,United States,N/A,N/A,N/A,"I speak English, French",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$15,$25,2 days,2 days,2 days,-1,-1,-1,5.0,73,Australia,N/A,N/A,N/A,"I speak English, Chinese",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$10,$60,$110,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,4.9,66,Kenya,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$50,$100,$150,3 days,3 days,2 days,-1,-1,-1,5.0,37,United States,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$50,$90,$145,7 days,7 days,10 days,1,2,Unlimited,5.0,18,Italy,N/A,N/A,N/A,"I speak English, Italian",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$25,$60,1 day,1 day,3 days,1,1,1,4.9,68,Turkey,N/A,N/A,N/A,"I speak English, Turkish, German",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$30,$125,$195,3 days,5 days,6 days,1,1,1,4.8,196,Italy,N/A,N/A,N/A,"I speak English, Italian",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$10,$30,$60,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,3,Nigeria,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$15,$20,$25,2 days,2 days,2 days,0,0,0,5.0,420,Italy,N/A,N/A,N/A,"I speak English, Italian, French",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$10,$15,2 days,1 day,1 day,2,2,2,5.0,182,United States,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$10,$20,1 day,2 days,3 days,-1,-1,-1,5.0,416,United States,N/A,N/A,N/A,"I speak English, French",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$15,$25,$30,1 day,2 days,3 days,1,1,1,4.9,323,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$50,$95,$110,3 days,3 days,3 days,-1,-1,-1,5.0,212,Luxembourg,N/A,N/A,N/A,"I speak English, Luxembourgish, French, German",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$10,$60,$110,1 day,2 days,3 days,0,1,3,5.0,877,New Zealand,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$25,$50,1 day,1 day,1 day,1,1,1,5.0,617,Canada,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$5,$25,$50,1 day,2 days,3 days,1,1,2,5.0,148,Denmark,N/A,N/A,N/A,"I speak English, Danish, Norwegian, Swedish",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$75,$150,$250,7 days,7 days,7 days,-1,-1,-1,5.0,28,United States,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$10,$20,$50,2 days,2 days,3 days,-1,-1,-1,4.8,44,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$30,$40,$55,3 days,3 days,2 days,0,1,1,5.0,115,United Kingdom,N/A,N/A,N/A,"I speak English, German, Latin, French",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$20,$25,$45,2 days,4 days,7 days,2,2,2,5.0,158,Germany,N/A,N/A,N/A,"I speak English, German",N/A,False
Writing & Translation,proofreading-editing,level 2,2200,$100,$200,"$1,000",2 days,2 days,7 days,-1,-1,-1,5.0,30,United States,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
