Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Writing & Translation,proofreading-editing,new seller,14000,"€1,306","€1,711","€4,107",14 days,30 days,45 days,-1,-1,-1,5.0,9,United States,N/A,N/A,N/A,"I speak English, Portuguese, Persian",N/A,False
Writing & Translation,proofreading-editing,new seller,14000,$50,$65,$130,7 days,7 days,7 days,0,1,Unlimited,5.0,51,United States,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,new seller,14000,$40,$60,$80,1 day,3 days,5 days,1,1,1,4.8,"1,220",United Kingdom,N/A,N/A,N/A,"I speak English, Icelandic",N/A,False
Writing & Translation,proofreading-editing,new seller,14000,$50,$65,$90,4 days,4 days,5 days,Unlimited,Unlimited,Unlimited,5.0,21,United States,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,new seller,14000,$5,$20,$35,2 days,3 days,3 days,-1,-1,-1,4.9,118,Egypt,N/A,N/A,N/A,"I speak English, Arabic",N/A,False
Writing & Translation,proofreading-editing,new seller,14000,$5,$10,$20,1 day,2 days,3 days,-1,-1,-1,5.0,142,Italy,N/A,N/A,N/A,"I speak English, Italian, French, Spanish",N/A,False
Writing & Translation,proofreading-editing,new seller,14000,$5,$15,$30,1 day,2 days,3 days,1,2,3,5.0,12,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Punjabi, German",N/A,False
Writing & Translation,proofreading-editing,new seller,14000,$5,$10,$15,2 days,3 days,5 days,Unlimited,Unlimited,Unlimited,5.0,9,United States,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,new seller,14000,$10,$10,$10,5-day delivery,5-day delivery,5-day delivery,-1,-1,-1,5.0,"3,009",United States,N/A,N/A,N/A,I speak English,N/A,True
Writing & Translation,proofreading-editing,new seller,14000,$35,$75,$100,3 days,5 days,7 days,2,2,2,4.9,89,United States,N/A,N/A,N/A,I speak English,N/A,False
