Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Writing & Translation,proofreading-editing,top rated seller,465,$750,"$1,200","$1,600",14 days,21 days,30 days,2,2,2,5.0,43,Ireland,N/A,N/A,N/A,"I speak English, Irish",N/A,False
Writing & Translation,proofreading-editing,top rated seller,465,$115,$140,$160,5 days,5 days,5 days,-1,-1,-1,5.0,127,United States,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,top rated seller,465,$25,$35,$45,2 days,4 days,4 days,-1,-1,-1,4.9,"4,079",Canada,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,top rated seller,465,$10,$25,$100,1 day,3 days,10 days,3,3,3,5.0,737,Venezuela,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Writing & Translation,proofreading-editing,top rated seller,465,$5,$250,$450,7 days,10 days,14 days,-1,-1,-1,5.0,33,United States,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,top rated seller,465,$25,$25,$25,2-day delivery,2-day delivery,2-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,4.9,281,Spain,N/A,N/A,N/A,"I speak English, Spanish, French",N/A,True
Writing & Translation,proofreading-editing,top rated seller,465,$395,"$1,495","$1,995",3 days,3 days,3 days,1,2,Unlimited,5.0,159,United States,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,top rated seller,465,$20,$30,$40,7 days,7 days,7 days,0,0,0,4.9,"1,037",United States,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,top rated seller,465,$35,$75,$110,3 days,3 days,3 days,-1,-1,-1,5.0,82,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,top rated seller,465,$50,$75,$125,1 day,3 days,5 days,-1,-1,-1,4.8,349,United States,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,top rated seller,465,$25,$30,$40,7 days,7 days,7 days,0,0,0,5.0,455,Canada,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,top rated seller,465,$45,$220,$475,2 days,5 days,14 days,1,2,2,4.9,821,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,proofreading-editing,top rated seller,465,$145,$205,$355,14 days,14 days,21 days,1,1,1,5.0,354,United States,N/A,N/A,N/A,I speak English,N/A,False
