Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Writing & Translation,ux-writing,new seller,147,$65,$65,$65,2-day delivery,2-day delivery,2-day delivery,3 Revisions,3 Revisions,3 Revisions,5.0,10,United States,N/A,N/A,N/A,"I speak English, French, Czech, Spanish",N/A,True
Writing & Translation,ux-writing,new seller,147,$5,$30,$50,2 days,4 days,6 days,Unlimited,Unlimited,Unlimited,5.0,6,India,N/A,N/A,N/A,"I speak English, Hindi, Bengali",N/A,False
Writing & Translation,ux-writing,new seller,147,$5,$10,$20,2 days,2 days,3 days,2,2,4,N/A,N/A,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,ux-writing,new seller,147,$40,$90,$150,2 days,2 days,3 days,1,1,2,4.9,15,India,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,ux-writing,new seller,147,$15,$25,$35,2 days,3 days,4 days,1,2,3,N/A,N/A,Morocco,N/A,N/A,N/A,"I speak English, French, Arabic",N/A,False
Writing & Translation,ux-writing,new seller,147,$5,$140,"$1,100",2 days,3 days,5 days,0,1,5,N/A,N/A,United States,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,ux-writing,new seller,147,$15,$30,$50,2 days,4 days,5 days,1,2,3,N/A,N/A,Croatia,N/A,N/A,N/A,"I speak English, Croatian, Slovenian, German",N/A,False
Writing & Translation,ux-writing,new seller,147,$65,$190,$350,2 days,4 days,10 days,3,2,2,5.0,3,India,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,ux-writing,new seller,147,$50,$100,$500,5 days,14 days,30 days,3,5,Unlimited,N/A,N/A,Philippines,N/A,N/A,N/A,"I speak English, Tagalog",N/A,False
Writing & Translation,ux-writing,new seller,147,€9.78,€97.77,€293.30,3 days,5 days,7 days,1,2,2,4.9,3,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Writing & Translation,ux-writing,new seller,147,$15,$35,$60,3 days,5 days,7 days,1,1,2,N/A,N/A,Austria,N/A,N/A,N/A,"I speak English, German, French, Japanese",N/A,False
Writing & Translation,ux-writing,new seller,147,$15,$25,$45,3 days,4 days,7 days,2,3,4,4.9,13,South Africa,N/A,N/A,N/A,"I speak English, Afrikaans",N/A,False
Writing & Translation,ux-writing,new seller,147,$300,$550,$750,6 days,6 days,6 days,2,2,3,5.0,1,United States,N/A,N/A,N/A,"I speak English, Chinese",N/A,False
