Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Data,data-engineering,level 1,293 Results,€483.58,€677.01,€962.32,7 days,14 days,14 days,2,2,2,5.0,3.0,Pakistan,,,,"I speak Urdu, English",,False
Data,data-engineering,level 1,293 Results,$250,$450,$950,3 days,5 days,7 days,1,2,5,5.0,5.0,Pakistan,,,,"I speak English, Urdu",,False
Data,data-engineering,level 1,293 Results,$50,$100,$150,1 day,3 days,5 days,0,1,2,5.0,12.0,Pakistan,,,,"I speak Urdu, English",,False
Data,data-engineering,level 1,293 Results,$120,$200,$400,2 days,3 days,10 days,1,2,2,5.0,13.0,United States,,,,I speak English,,False
Data,data-engineering,level 1,293 Results,$100,$300,$450,7 days,10 days,7 days,1,1,2,4.6,8.0,United Kingdom,,,,"I speak English, Polish",,False
Data,data-engineering,level 1,293 Results,$30,$50,$95,1 day,2 days,3 days,1,1,2,4.9,22.0,Pakistan,,,,"I speak Urdu, English, French",,False
Data,data-engineering,level 1,293 Results,$80,$160,$300,3 days,7 days,14 days,3,3,3,5.0,19.0,Bangladesh,,,,"I speak Bengali, English",,False
Data,data-engineering,level 1,293 Results,$100,"$2,000","$10,000",1 day,2 days,3 days,2,3,7,5.0,10.0,Pakistan,,,,I speak English,,False
Data,data-engineering,level 1,293 Results,$200,$300,$400,7 days,14 days,21 days,1,2,3,5.0,2.0,United States,,,,"I speak English, Bulgarian",,False
Data,data-engineering,level 1,293 Results,$100,$100,$100,5-day delivery,5-day delivery,5-day delivery,1 Revision,1 Revision,1 Revision,5.0,5.0,Pakistan,,,,"I speak Urdu, English",,True
Data,data-engineering,level 1,293 Results,$10,$10,$10,3-day delivery,3-day delivery,3-day delivery,2 Revisions,2 Revisions,2 Revisions,4.7,13.0,Pakistan,,,,I speak English,,True
Data,data-engineering,level 1,293 Results,$100,$100,$100,10-day delivery,10-day delivery,10-day delivery,-1,-1,-1,5.0,5.0,Singapore,,,,I speak English,,True
Data,data-engineering,level 1,293 Results,₪576.17,₪960.28,"₪1,345",3 days,5 days,10 days,2,3,3,5.0,1.0,United Kingdom,,,,"I speak English, Spanish",,False
Data,data-engineering,level 1,293 Results,₪115.23,₪192.06,₪307.29,1 day,2 days,3 days,3,3,5,5.0,5.0,Pakistan,,,,"I speak English, French, German, Spanish",,False
Data,data-engineering,level 1,293 Results,$100,"$2,000","$10,000",1 day,2 days,3 days,2,3,7,5.0,10.0,Pakistan,,,,I speak English,,False
Data,data-engineering,level 1,293 Results,$100,$100,$100,5-day delivery,5-day delivery,5-day delivery,1 Revision,1 Revision,1 Revision,5.0,5.0,Pakistan,,,,"I speak Urdu, English",,True
Data,data-engineering,level 1,293 Results,$5,$10,$30,1 day,2 days,4 days,1,1,2,5.0,9.0,Pakistan,,,,I speak English,,False
Data,data-engineering,level 1,293 Results,$50,$150,$250,2 days,4 days,5 days,0,2,3,4.9,18.0,Pakistan,,,,"I speak Urdu, English, Hindi, Punjabi",,False
Data,data-engineering,level 1,293 Results,$20,$80,$150,1 day,2 days,3 days,1,2,Unlimited,4.6,3.0,Pakistan,,,,"I speak Urdu, English, Arabic",,False
Data,data-engineering,level 1,293 Results,$50,$150,$300,2 days,3 days,7 days,1,2,3,5.0,3.0,Ghana,,,,I speak English,,False
Data,data-engineering,level 1,293 Results,$25,$50,$100,2 days,3 days,4 days,-1,-1,-1,4.8,8.0,Pakistan,,,,"I speak Urdu, English, Spanish, Russian",,False
Data,data-engineering,level 1,293 Results,$10,$10,$10,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,4.9,4.0,Pakistan,,,,I speak English,,True
Data,data-engineering,level 1,293 Results,$50,$50,$50,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,5.0,3.0,Singapore,,,,I speak English,,True
Data,data-engineering,level 1,293 Results,$30,$70,$100,2 days,5 days,14 days,3,5,Unlimited,5.0,9.0,Kenya,,,,"I speak English, Swahili, Spanish, German",,False
Data,data-engineering,level 1,293 Results,$100,$300,$450,7 days,10 days,7 days,1,1,2,4.6,8.0,United Kingdom,,,,"I speak English, Polish",,False
Data,data-engineering,level 1,293 Results,$20,$80,$150,1 day,2 days,3 days,1,2,Unlimited,4.6,3.0,Pakistan,,,,"I speak Urdu, English, Arabic",,False
Data,data-engineering,level 1,293 Results,$10,$50,$100,1 day,3 days,7 days,2,2,2,5.0,4.0,India,,,,I speak English,,False
Data,data-engineering,level 1,293 Results,$20,$30,$40,2 days,3 days,5 days,Unlimited,Unlimited,Unlimited,5.0,1.0,Pakistan,,,,"I speak Urdu, English, Spanish, Arabic",,False
Data,data-engineering,level 1,293 Results,$40,$40,$40,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,4.9,3.0,Pakistan,,,,I speak English,,True
Data,data-engineering,level 1,293 Results,$20,$50,$120,2 days,3 days,5 days,0,1,2,5.0,12.0,Pakistan,,,,"I speak Urdu, German, English",,False
Data,data-engineering,level 1,293 Results,$50,$100,$150,5 days,10 days,14 days,Unlimited,Unlimited,Unlimited,4.9,18.0,Sri Lanka,,,,I speak English,,False
Data,data-engineering,level 1,293 Results,$250,$450,$950,3 days,5 days,7 days,1,2,5,5.0,5.0,Pakistan,,,,"I speak English, Urdu",,False
Data,data-engineering,level 1,293 Results,$20,$20,$20,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,12.0,Canada,,,,I speak English,,True
Data,data-engineering,level 1,293 Results,$50,$100,$150,1 day,3 days,5 days,0,1,2,5.0,12.0,Pakistan,,,,"I speak Urdu, English",,False
Data,data-engineering,level 1,293 Results,$50,$150,$350,3 days,7 days,14 days,1,3,5,4.7,1.0,Sri Lanka,,,,"I speak Sinhala, English, French, Spanish",,False
Data,data-engineering,level 1,293 Results,$80,$80,$80,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,5.0,9.0,India,,,,I speak English,,True
Data,data-engineering,level 1,293 Results,€87.04,€145.07,€203.10,1 day,3 days,5 days,3,3,3,5.0,3.0,Pakistan,,,,"I speak English, German, French, Spanish",,False
Data,data-engineering,level 1,293 Results,€48.36,€116.06,€164.42,1 day,3 days,7 days,2,3,4,5.0,11.0,Pakistan,,,,"I speak Urdu, English",,False
Data,data-engineering,level 1,293 Results,$50,$50,$50,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,5.0,3.0,Morocco,,,,"I speak English, Arabic, French, Spanish",,True
Data,data-engineering,level 1,293 Results,$40,$40,$40,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,4.9,3.0,Pakistan,,,,I speak English,,True
Data,data-engineering,level 1,293 Results,$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,5.0,37.0,Indonesia,,,,"I speak English, Indonesian",,True
Data,data-engineering,level 1,293 Results,$125,$215,$350,3 days,5 days,7 days,Unlimited,Unlimited,Unlimited,4.8,17.0,India,,,,"I speak Hindi, English",,False
Data,data-engineering,level 1,293 Results,$500,$700,$995,7 days,14 days,14 days,2,2,2,5.0,3.0,Pakistan,,,,"I speak Urdu, English",,False
Data,data-engineering,level 1,293 Results,$300,"$1,000","$1,500",14 days,14 days,14 days,2,2,2,5.0,3.0,Argentina,,,,"I speak English, Spanish, French, German",,False
Data,data-engineering,level 1,293 Results,$50,$150,$350,3 days,7 days,14 days,1,3,5,4.7,1.0,Sri Lanka,,,,"I speak Sinhala, English, French, Spanish",,False
Data,data-engineering,level 1,293 Results,$20,$20,$20,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,5.0,17.0,India,,,,"I speak Punjabi, English, Hindi",,True
Data,data-engineering,level 1,293 Results,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,2 Revisions,2 Revisions,2 Revisions,4.9,10.0,Spain,,,,"I speak English, Spanish, French, Italian",,True
Data,data-engineering,level 1,293 Results,$20,$50,$100,2 days,4 days,5 days,-1,-1,-1,,,Qatar,,,,"I speak English, Tamil, Malayalam",,False
Data,data-engineering,level 2,126 Results,$200,$500,"$1,000",1 day,2 days,3 days,1,2,3,,,Pakistan,,,,"English, Urdu, Punjabi",,False
Data,data-engineering,level 2,126 Results,$10,$10,$10,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,5.0,1.0,Bangladesh,,,,I speak English,,True
Data,data-engineering,level 2,126 Results,$35,$125,$280,1 day,7 days,14 days,-1,-1,-1,5.0,45.0,Pakistan,,,,"I speak Urdu, English",,False
