Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Order in Queue,is_single_plan,Arabic,Bengali,Chinese,Dutch,English,French,German,Hindi,Indonesian,Italian,Polish,Portuguese,Punjabi,Russian,Spanish,Turkish,Ukrainian,Urdu
Business,legal-consulting-services,2.0,1700,35.0,595.0,2495.0,5,10,14,-1,-1,-1,5.0,457.0,United States,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,100.0,140.0,180.0,10,10,10,-1,-1,-1,5.0,31.0,Pakistan,,,,0,False,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Business,legal-consulting-services,2.0,1700,50.0,100.0,150.0,7,7,7,-1,-1,-1,4.7,17.0,Pakistan,,,,0,False,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,50.0,100.0,150.0,2,2,2,1,1,1,4.9,51.0,United States,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,5.0,40.0,60.0,1,1,1,-1,-1,-1,4.9,21.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Business,legal-consulting-services,2.0,1700,550.0,550.0,550.0,7,7,7,-1,-1,-1,5.0,103.0,United States,,,,0,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,10.0,20.0,30.0,1,2,3,-1,-1,-1,5.0,19.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Business,legal-consulting-services,2.0,1700,10.0,20.0,30.0,1,1,1,-1,-1,-1,5.0,20.0,Pakistan,,,,0,False,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,50.0,170.0,220.0,5,14,14,-1,-1,-1,5.0,14.0,India,,,,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,10.0,20.0,250.0,1,2,3,-1,-1,-1,5.0,43.0,Pakistan,,,,0,False,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,5.0,15.0,30.0,1,1,2,0,0,0,4.9,38.0,Pakistan,,,,0,False,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
Business,legal-consulting-services,2.0,1700,5.0,10.0,15.0,1,1,2,-1,-1,-1,4.9,109.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,15.0,25.0,35.0,1,2,2,-1,-1,-1,4.9,36.0,Pakistan,,,,0,False,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,10.0,10.0,10.0,1,1,1,-1,-1,-1,4.8,19.0,Pakistan,,,,0,True,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
Business,legal-consulting-services,2.0,1700,95.0,150.0,200.0,3,4,4,-1,-1,-1,5.0,82.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,30.0,60.0,85.0,1,2,3,0,0,0,5.0,224.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Business,legal-consulting-services,2.0,1700,30.0,50.0,80.0,3,10,14,-1,-1,-1,5.0,17.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Business,legal-consulting-services,2.0,1700,10.0,25.0,50.0,1,1,2,3,5,0,4.8,36.0,Pakistan,,,,0,False,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Business,legal-consulting-services,2.0,1700,30.0,50.0,90.0,7,10,14,-1,-1,-1,4.9,37.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Business,legal-consulting-services,2.0,1700,10.0,20.0,30.0,1,1,1,0,0,0,5.0,34.0,Pakistan,,,,0,False,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,10.0,30.0,70.0,1,1,2,0,0,0,5.0,22.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Business,legal-consulting-services,2.0,1700,15.0,30.0,50.0,1,1,2,3,5,0,4.9,58.0,Pakistan,,,,0,False,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
Business,legal-consulting-services,2.0,1700,10.0,20.0,30.0,2,3,4,1,3,5,4.9,495.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Business,legal-consulting-services,2.0,1700,50.0,75.0,100.0,3,4,6,-1,-1,-1,5.0,16.0,India,,,,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,5.0,10.0,15.0,1,1,1,0,0,0,4.9,21.0,Pakistan,,,,0,False,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,30.0,60.0,120.0,1,2,3,0,0,0,4.9,36.0,United States,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,60.0,130.0,500.0,1,3,30,-1,-1,-1,5.0,14.0,Philippines,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,20.0,35.0,65.0,2,3,3,0,0,0,5.0,112.0,India,,,,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,10.0,10.0,10.0,1,1,1,-1,-1,-1,5.0,20.0,Pakistan,,,,0,True,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
Business,legal-consulting-services,2.0,1700,25.0,60.0,75.0,1,2,2,-1,-1,-1,5.0,58.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Business,legal-consulting-services,2.0,1700,10.0,80.0,200.0,1,3,30,-1,-1,-1,5.0,72.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Business,legal-consulting-services,2.0,1700,10.0,20.0,30.0,1,2,3,-1,-1,-1,4.9,34.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,15.0,55.0,100.0,1,3,4,-1,-1,-1,4.9,91.0,India,,,,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,5.0,20.0,300.0,1,3,14,-1,-1,-1,5.0,19.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Business,legal-consulting-services,2.0,1700,10.0,20.0,50.0,1,1,3,-1,-1,-1,4.9,35.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Business,legal-consulting-services,2.0,1700,20.0,35.0,50.0,1,1,1,0,0,0,5.0,30.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Business,legal-consulting-services,2.0,1700,5.0,30.0,65.0,2,2,2,-1,-1,-1,5.0,95.0,Nigeria,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,15.0,20.0,30.0,3,3,5,-1,-1,-1,4.9,57.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,10.0,20.0,30.0,2,3,4,-1,-1,-1,4.8,153.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Business,legal-consulting-services,2.0,1700,10.0,20.0,100.0,1,1,2,-1,-1,-1,4.4,11.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Business,legal-consulting-services,2.0,1700,5.0,15.0,40.0,1,2,3,-1,-1,-1,4.9,244.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,10.0,15.0,20.0,2,5,6,-1,-1,-1,4.8,15.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Business,legal-consulting-services,2.0,1700,390.0,495.0,595.0,10,14,14,-1,-1,-1,5.0,9.0,Germany,,,,0,False,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,10.0,20.0,30.0,1,1,1,0,0,0,4.9,34.0,Pakistan,,,,0,False,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
Business,legal-consulting-services,2.0,1700,25.0,55.0,85.0,1,1,2,-1,-1,-1,4.9,173.0,United States,,,,0,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,30.0,70.0,90.0,2,3,4,0,0,0,4.8,476.0,United States,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,2.0,1700,85.0,130.0,250.0,3,7,14,-1,-1,-1,5.0,42.0,Spain,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Business,legal-consulting-services,2.0,1700,70.0,130.0,170.0,3,5,7,-1,-1,-1,4.8,15.0,United States,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,3.0,1200,95.0,95.0,95.0,5,5,5,-1,-1,-1,4.9,374.0,Pakistan,,,,0,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,3.0,1200,8.95,17.91,26.86,1,2,2,-1,-1,-1,4.9,538.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Business,legal-consulting-services,3.0,1200,20.0,80.0,250.0,1,7,30,-1,-1,-1,4.9,81.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Business,legal-consulting-services,3.0,1200,250.0,450.0,650.0,3,4,4,1,1,2,4.9,274.0,Nigeria,,,,0,False,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Business,legal-consulting-services,3.0,1200,10.0,30.0,40.0,1,2,3,-1,-1,-1,4.9,544.0,United Arab Emirates,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Business,legal-consulting-services,3.0,1200,20.0,30.0,40.0,5,3,6,-1,-1,-1,4.9,567.0,India,,,,0,False,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,3.0,1200,50.0,195.0,250.0,1,2,1,-1,-1,-1,4.9,418.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,3.0,1200,30.0,30.0,30.0,3,3,3,2,2,2,5.0,104.0,United States,,,,0,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Business,legal-consulting-services,3.0,1200,10.0,65.0,135.0,1,2,3,-1,-1,-1,4.9,368.0,Pakistan,,,,0,False,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Business,legal-consulting-services,3.0,1200,100.0,180.0,350.0,3,3,3,-1,-1,-1,5.0,307.0,Pakistan,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Business,legal-consulting-services,3.0,1200,30.0,90.0,120.0,1,2,3,-1,-1,-1,4.9,57.0,Nigeria,,,,0,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
